date,open,high,low,close,volume
2022-01-04,27280,27560,27020,27130,1769200
2022-01-05,27480,27480,26760,26870,1922200
2022-01-06,26480,28140,26300,27560,5998800
2022-01-07,28040,28610,27310,28430,4367700
2022-01-10,28430,29220,28140,28290,2951600
2022-01-11,28140,28940,27780,28570,4276500
2022-01-12,28570,30570,28570,30570,8028300
2022-01-13,30830,32710,30830,31910,9664800
2022-01-14,31400,32710,31400,32090,3265400
2022-01-17,31910,34090,31630,31660,7741100
2022-01-18,31480,32960,31480,32570,4849200
2022-01-19,32680,33220,31590,31660,2972800
2022-01-20,31260,33870,30640,33870,5637900
2022-01-21,34120,35400,33720,34350,4570000
2022-01-24,34020,35180,33980,34020,4165100
2022-01-25,33590,35530,33290,35530,4703200
2022-01-26,35910,36240,34880,34880,4052900
2022-01-27,34810,35180,34380,34530,1921100
2022-01-28,34530,35530,34310,34780,2956900
2022-02-07,35110,35250,34230,34380,3477200
2022-02-08,34380,35110,33720,34350,2672600
2022-02-09,34310,35470,34090,35110,4562000
2022-02-10,35250,35470,34810,35110,2741500
2022-02-11,34960,35180,34670,34740,1716100
2022-02-14,34230,34530,32460,32460,7129000
2022-02-15,32530,33590,32200,33510,3694100
2022-02-16,33440,33440,32430,32759,2795800
2022-02-17,33140,33370,32430,33370,1790200
2022-02-18,32960,33400,32430,32430,2995400
2022-02-21,32500,32960,31700,32810,2957200
2022-02-22,32570,33370,32430,33370,2290300
2022-02-23,33720,34020,33000,33070,2954000
2022-02-24,32850,33030,31630,32350,3385900
2022-02-25,32350,33070,32280,32310,2347500
2022-02-28,32130,32310,31700,31700,2699000
2022-03-01,31730,32640,31630,31980,2395600
2022-03-02,31700,31910,30720,30790,3090100
2022-03-03,30720,31340,30460,31040,2473700
2022-03-04,31040,31550,30830,31400,1660800
2022-03-07,31040,31040,30570,30640,2258300
2022-03-08,30310,30870,30030,30170,2585800
2022-03-09,30170,30390,29370,29370,1970700
2022-03-10,30110,30460,29700,29700,1563100
2022-03-11,29700,30350,29700,30350,1476500
2022-03-14,30350,30610,29960,29960,1337300
