date,open,high,low,close,volume
2021-01-04,23510,24180,23450,23850,14041500
2021-01-05,23780,24150,23650,23780,9215200
2021-01-06,24180,25420,23990,25420,15419900
2021-01-07,25860,26630,25800,26100,10679600
2021-01-08,26540,26540,25860,26000,8380100
2021-01-11,26130,26600,25930,26000,10911700
2021-01-12,26000,26130,25590,25860,9154200
2021-01-13,25960,26510,25860,25960,9063900
2021-01-14,26200,26440,25860,26300,8275700
2021-01-15,26540,26940,26410,26540,11321800
2021-01-18,26600,26770,25930,25930,7197000
2021-01-19,25860,25930,24110,24110,14466500
2021-01-20,24180,24450,22710,23950,11184000
2021-01-21,24250,24860,23850,24860,7568900
2021-01-22,24820,25730,24650,25260,11333200
2021-01-25,25060,25230,24520,24720,6580500
2021-01-26,24520,24550,23170,23170,8285900
2021-01-27,22970,23610,21830,21900,9544300
2021-01-28,20650,21430,20380,20380,13297400
2021-01-29,19340,21760,19340,20490,14819400
2021-02-01,21370,21900,21160,21500,12315100
2021-02-02,21370,22840,21300,22780,7767300
2021-02-03,23170,23680,22840,23450,10075600
2021-02-04,23380,23550,23010,23310,9413200
2021-02-05,23480,24050,23340,24050,8496700
2021-02-08,24180,24250,22780,22870,12845300
2021-02-09,23140,23820,22840,23780,8069900
2021-02-17,24450,24720,24080,24720,9896400
2021-02-18,24650,24890,24380,24720,10032300
2021-02-19,24380,25200,24250,24860,12154600
2021-02-22,24860,25560,24720,24860,11349900
2021-02-23,24930,25260,24860,24890,8347300
2021-02-24,25160,25630,24890,25200,14250600
2021-02-25,25390,25460,24890,25060,8490300
2021-02-26,24690,25090,24520,25030,8851000
2021-03-01,25390,25660,25260,25590,13954000
2021-03-02,25860,25930,25520,25520,7320600
2021-03-03,25800,26070,25730,25930,13074300
2021-03-04,26200,26200,25200,25730,10315800
2021-03-05,25590,25830,25200,25520,10156400
2021-03-08,25800,25930,25230,25460,7574900
2021-03-09,25460,25460,24930,24990,10113900
2021-03-10,25030,25390,24890,25230,7468500
2021-03-11,25490,25830,25390,25660,7639300
2021-03-12,25760,25860,25490,25490,6997500
2021-03-15,25520,25660,25360,25520,6762100
2021-03-16,25630,25660,25300,25320,7061600
2021-03-17,25360,26600,25260,26560,23685900
2021-03-18,27680,27840,27000,27210,16047000
2021-03-19,27110,27480,27070,27170,8287200
2021-03-22,27510,28040,27210,27610,20682100
2021-03-23,27680,27720,27000,27210,14649900
2021-03-24,26870,27170,26130,26200,18260600
2021-03-25,26540,26970,26130,26470,14674100
2021-03-26,26410,26730,25390,26240,16252400
2021-03-29,26600,26900,26410,26870,11589800
2021-03-30,27070,27410,26770,27140,11152600
2021-03-31,27140,27440,26870,26970,11841600
2021-04-01,27070,27780,27070,27580,18695800
2021-04-02,27870,27910,27550,27750,12198800
2021-04-05,28210,28420,27870,28210,16216000
2021-04-06,28180,29250,27940,28890,22526100
2021-04-07,28890,29420,28760,28890,12150700
2021-04-08,28890,29080,28620,28620,11652100
2021-04-09,28550,28690,28420,28550,14650600
2021-04-12,28620,29080,28520,29020,13503200
2021-04-13,29220,29220,28210,28250,15121500
2021-04-14,28150,28890,27870,28720,14310200
2021-04-15,28820,28890,28210,28350,13938300
2021-04-16,28480,29020,27410,28210,21441800
2021-04-19,28350,28550,27750,28550,16032000
2021-04-20,28650,28990,27870,28210,23241600
2021-04-22,28040,28180,26300,26300,21428500
2021-04-23,26510,27810,26200,27750,17558700
2021-04-26,27750,27750,26630,26670,12681700
2021-04-27,26560,26940,26410,26630,7161800
2021-04-28,26600,27170,26560,26700,7986500
2021-04-29,26870,27440,26700,27410,14195400
2021-05-04,26900,28890,26900,28890,25413700
2021-05-05,29290,29830,29120,29120,22165900
2021-05-06,28890,29350,28690,28820,19927200
2021-05-07,28590,29490,28420,29420,25587800
2021-05-10,30240,30290,29900,30100,25185800
2021-05-11,30070,30170,29690,29690,15717800
2021-05-12,29490,30240,29460,30240,19602800
2021-05-13,30030,31670,30000,31240,34020000
2021-05-14,31570,31870,31340,31570,17062600
2021-05-17,31600,31980,31170,31410,17025300
2021-05-18,31340,31540,31040,31270,17653600
2021-05-19,31440,32420,31240,32250,17470800
2021-05-20,32689,32850,32280,32850,14056500
2021-05-21,32850,33120,32380,32420,15853000
2021-05-24,32780,34660,32650,34390,30504900
2021-05-25,34600,34940,34330,34330,10875800
2021-05-26,34390,34800,34120,34600,13860100
2021-05-27,34660,34730,33590,33730,19716800
2021-05-28,33990,34460,33660,34390,16908700
2021-05-31,34390,35670,34260,35670,17663200
2021-06-01,35940,36210,35260,35330,10726300
2021-06-02,34800,35540,34660,34940,14835300
2021-06-03,35600,36420,34940,36010,17478700
2021-06-04,36080,36880,36010,36280,12980000
2021-06-07,36080,36140,34260,34940,17794800
2021-06-08,34660,35260,32910,32910,16100500
2021-06-09,33250,34260,32590,33930,14885700
2021-06-10,33930,34190,33250,33250,11556800
2021-06-11,33590,35540,33320,35540,17955900
2021-06-14,35810,36280,34940,35260,14106200
2021-06-15,35260,35600,34800,35000,16190500
2021-06-16,34660,34660,33930,33930,21380600
2021-06-17,33250,34260,33190,33930,17430700
2021-06-18,34530,35260,34260,34390,13217400
2021-06-21,34060,34600,33590,33790,11267800
2021-06-22,34060,35200,33660,34870,21910600
2021-06-23,35070,35940,34870,35400,16906300
2021-06-24,36280,36740,35670,35870,24594800
2021-06-25,35740,36140,35200,36140,14298400
2021-06-28,36610,36810,36140,36540,13909500
2021-06-29,36540,36740,35940,36210,18646000
2021-06-30,36280,36610,35260,35400,31366000
2021-07-01,35400,35810,34870,35200,29241200
2021-07-02,35400,35740,35200,35400,16549400
2021-07-05,35400,35600,34600,35000,19600400
2021-07-06,35260,35740,32590,32590,22943500
2021-07-07,33620,33960,32590,33840,26836900
2021-07-08,34050,34660,33450,33450,14109100
2021-07-09,33100,33620,32060,32590,18298100
2021-07-12,32110,32150,30320,30320,27996400
2021-07-13,30760,31150,29290,29980,11766000
2021-07-14,30030,30630,29200,29200,16349700
2021-07-15,29280,30710,29110,30320,15109200
2021-07-16,30670,30670,30030,30030,9668400
2021-07-19,29020,29420,27940,27940,20727100
2021-07-20,27990,28850,27420,28820,20034800
2021-07-21,28990,29330,28340,28470,9944500
2021-07-22,28470,29420,28380,29020,13304000
2021-07-23,28730,29200,28160,28160,16029900
2021-07-26,27900,28160,27560,27850,10149700
2021-07-27,28160,28900,28080,28160,15896500
2021-07-28,28160,28680,28160,28510,7149800
2021-07-29,28850,29590,28770,29370,17023000
2021-07-30,29460,30070,29420,29810,20779300
2021-08-02,29280,29630,29160,29240,25006000
2021-08-03,29240,29550,28820,29550,22282600
2021-08-04,29720,29860,29370,29460,15287900
2021-08-05,29370,29630,29110,29630,13354900
2021-08-06,29770,30240,29550,29590,18941900
2021-08-09,29550,29980,29420,29940,15498800
2021-08-10,30280,30280,29860,30030,12035700
2021-08-11,30030,30410,29720,29720,17304500
2021-08-12,29900,30120,29720,29810,13117700
2021-08-13,29810,29980,29200,29720,12211300
2021-08-16,29720,30710,29550,30410,21662500
2021-08-17,30670,30760,29940,29980,11928200
2021-08-18,30070,30160,29720,29900,11145200
2021-08-19,29770,29900,29590,29720,11372200
2021-08-20,29720,30120,27740,28340,23428900
2021-08-23,28340,28990,28290,28340,19696000
2021-08-24,28510,28770,28290,28380,11178500
2021-08-25,28340,28430,27470,27850,18206800
2021-08-26,27990,28340,26950,27030,21097200
2021-08-27,26600,27030,26080,26990,19888900
2021-08-30,27210,27990,27120,27990,13238800
2021-08-31,28160,28200,27560,27560,12240800
2021-09-01,27560,27990,27390,27770,15294300
2021-09-06,27770,27990,27560,27770,11552700
2021-09-07,27850,28550,27850,28290,10817600
2021-09-08,28430,28640,27740,27850,8356000
2021-09-09,27850,28080,27810,28080,7646900
2021-09-10,28160,28340,27990,27990,6653200
2021-09-13,27940,28030,27560,27600,8458400
2021-09-14,27650,27770,27030,27030,8996700
2021-09-15,26860,27300,26860,26990,7128400
2021-09-16,27300,27770,27210,27420,6372600
2021-09-17,27510,27850,27470,27560,6833300
2021-09-20,27990,27990,27600,27600,8741100
2021-09-21,27300,27470,27120,27300,8136200
2021-09-22,27210,27340,26990,27160,7714100
