date,open,high,low,close,volume
2022-01-04,64989,68330,64989,68330,1730300
2022-01-05,68870,70690,68740,70410,2082700
2022-01-06,69740,70350,69010,69550,827700
2022-01-07,70090,73300,69270,72100,1777900
2022-01-10,72100,72100,69070,69410,803600
2022-01-11,69070,70090,68400,69270,650100
2022-01-12,70410,73030,70410,72420,1475800
2022-01-13,73170,74440,70410,70410,772800
2022-01-14,69740,71420,69410,70760,539400
2022-01-17,71560,73560,65850,70140,1451600
2022-01-18,69740,72420,69740,71750,931200
2022-01-19,72500,73030,70760,71750,664500
2022-01-20,71750,72830,70760,72830,717300
2022-01-21,72420,72970,70220,72030,1063800
2022-01-24,71750,73100,71620,71830,1029200
2022-01-25,71090,73430,69740,73430,1322100
2022-01-26,73970,75780,73100,75250,1440600
2022-01-27,75440,77060,73900,74970,911500
2022-01-28,75050,75780,71420,73100,1656400
2022-02-07,76320,77800,75170,76920,926300
2022-02-08,76790,77450,75520,76450,637800
2022-02-09,75780,76180,73770,73770,1828900
2022-02-10,75110,75650,73770,75110,859800
2022-02-11,75440,75650,74440,74440,483000
2022-02-14,76180,79130,75650,77800,1817900
2022-02-15,77800,80210,76180,78730,1425600
2022-02-16,76790,77720,75780,76790,723400
2022-02-17,76720,79600,76250,79600,1128100
2022-02-18,78130,79600,77330,78470,732400
2022-02-21,78130,78470,77450,77670,332600
2022-02-22,79130,79460,77800,78130,721200
2022-02-23,78870,80810,77990,78470,1292100
2022-02-24,79130,82160,78670,79810,1890000
2022-02-25,80540,81950,78190,78600,1320300
2022-02-28,79810,80210,78470,79130,940300
2022-03-01,79810,79810,77860,78940,1037700
2022-03-02,80480,81270,79130,79930,1558200
2022-03-03,81740,81740,79810,80950,1368500
2022-03-04,80480,80480,79130,79130,1555800
2022-03-07,84170,84170,82160,83560,2253000
2022-03-08,82220,84370,80540,80950,1426800
2022-03-09,82350,83960,80950,81950,1297600
2022-03-10,79130,80340,78320,79460,963500
2022-03-11,79130,79130,75310,75720,1619500
2022-03-14,73770,75110,71090,71090,1389300
2022-03-15,69740,72420,68400,72420,967000
2022-03-16,72770,73770,71090,73230,617000
2022-03-17,72500,73640,71960,71960,524600
2022-03-18,72420,73640,72100,73030,601000
2022-03-21,73360,77120,73030,76450,830800
2022-03-22,77120,78130,76120,77120,788400
2022-03-23,76660,77260,75170,75310,620500
2022-03-24,77060,77120,75050,75310,596000
2022-03-25,76390,76450,72420,74240,385200
2022-03-28,74310,75780,73970,74120,357200
2022-03-29,73770,75780,73030,75050,689800
2022-03-30,74370,74710,73170,73830,590500
2022-03-31,73770,75050,72570,72620,374200
2022-04-01,72300,74370,71750,73560,429800
2022-04-04,73830,75720,73700,75380,610500
2022-04-05,75580,76980,74440,76660,727800
2022-04-06,76720,78130,75910,76250,832600
2022-04-07,76250,77120,75050,75650,729000
2022-04-08,76320,76790,73900,73900,617300
2022-04-12,74240,75440,71750,73030,632900
2022-04-13,73170,74120,72370,73830,513600
2022-04-14,74710,75440,74640,74840,461700
2022-04-15,75440,79130,75110,77190,1786900
2022-04-18,78320,79070,76590,77330,848000
2022-04-19,78790,78790,76390,76390,676400
2022-04-20,76180,76180,71420,71490,1409200
2022-04-21,69740,72620,69070,70410,1072500
2022-04-22,70480,75310,67070,75310,1337900
2022-04-25,73100,75310,70090,70090,684200
2022-04-26,68400,73100,65800,73100,669700
2022-04-27,70090,74780,70090,74440,789600
2022-04-28,73970,73970,72220,72220,215400
2022-04-29,71750,72700,70410,71090,548300
2022-05-04,72160,73770,71890,72420,521100
2022-05-05,74440,74440,73030,73360,351200
2022-05-06,71420,73700,71420,73640,576300
2022-05-09,73100,73100,69070,70350,571900
2022-05-10,67400,72500,67070,72420,645200
2022-05-11,71960,73430,71090,73030,328500
2022-05-12,72420,72420,69480,70810,833900
2022-05-13,69950,71420,67070,67070,899400
2022-05-16,69070,69480,63710,63710,955900
2022-05-17,63710,67660,63040,67660,516700
2022-05-18,67730,71360,67260,70410,909900
2022-05-19,66730,71420,66730,70950,1136600
2022-05-20,70760,71560,69480,70090,292900
2022-05-23,70760,70880,68940,69410,541100
2022-05-24,69410,71690,68810,70950,840400
2022-05-25,71280,72700,70950,72700,764900
2022-05-26,73770,74580,71090,72160,565300
2022-05-27,72770,74580,72770,73770,404700
2022-05-30,74910,75310,73640,73770,682000
2022-05-31,74310,78940,73430,78940,2358100
2022-06-01,79600,83090,78470,81150,1740200
2022-06-02,80480,82480,78990,79740,1399300
2022-06-03,79130,83830,79130,83280,2364500
2022-06-06,84170,88860,84170,87120,2646200
2022-06-07,87120,87850,83240,87180,2035900
2022-06-08,87180,88460,86030,86450,1703300
2022-06-09,86450,87310,85300,85570,1293800
2022-06-10,84830,85570,79600,79600,2455800
2022-06-13,77120,81880,76790,79130,1737200
2022-06-14,80480,84500,79200,84500,1357700
2022-06-15,83160,85910,81010,83160,2223400
2022-06-16,83900,88460,82350,85840,2330800
2022-06-17,83830,89860,83490,89860,1558000
2022-06-20,87850,88530,83630,83630,1717900
2022-06-21,83160,85370,77800,80140,2345500
2022-06-22,79460,80480,74580,74580,1887400
2022-06-23,73770,79740,73770,78320,1113700
2022-06-24,78320,78940,76320,76450,806000
2022-06-27,77120,78940,76450,76720,903600
2022-06-28,78130,78870,77390,77800,798300
2022-06-29,77800,79130,76660,78470,968700
2022-06-30,78130,80140,77450,77450,1008200
2022-07-01,76980,77670,73770,75780,974500
2022-07-04,77230,77510,74760,74810,462800
2022-07-05,75100,76330,70270,70960,1503400
2022-07-06,68620,68830,66000,66000,1689000
2022-07-07,64830,66480,63790,64830,628400
2022-07-08,67170,67640,65459,65860,692300
2022-07-11,65800,66760,65370,65370,477100
2022-07-12,65590,68210,65590,68210,779400
2022-07-13,66830,66830,65720,66340,896400
2022-07-14,66830,68340,66830,68060,697700
2022-07-15,68060,68130,66830,67170,516900
2022-07-18,67250,67860,66480,67170,567900
2022-07-19,68060,70270,67730,70210,933900
2022-07-20,71300,71720,70270,70960,894600
2022-07-21,70890,72340,69930,71720,862900
2022-07-22,71640,75720,71640,74270,1087700
