date,open,high,low,close,volume
2023-01-03,13870,14580,13790,14580,27990600
2023-01-04,14730,15000,14620,14700,20230000
2023-01-05,14700,15150,14510,15000,21502200
2023-01-06,14920,15220,14540,14700,19630100
2023-01-09,15000,15220,14770,14850,16185000
2023-01-10,14850,15220,14540,15000,26852100
2023-01-11,15150,15570,15070,15300,25709300
2023-01-12,15220,15340,15070,15190,20172900
2023-01-13,15340,15420,15070,15120,19174700
2023-01-16,15150,15640,15120,15340,22319700
2023-01-17,15490,16400,15490,16400,41584700
2023-01-18,16670,16710,16320,16440,25850200
2023-01-19,16370,16550,15790,16020,43940400
2023-01-27,15910,16320,15790,16290,26524400
2023-01-30,16440,16820,16170,16470,42341300
2023-01-31,16590,16740,16440,16740,28105900
2023-02-01,16820,17160,15910,15980,51905400
2023-02-02,16059,16440,15980,16129,25388600
2023-02-03,16250,16320,15910,15980,20956300
2023-02-06,15980,16020,15570,16020,22269800
2023-02-07,16020,16059,14920,14960,43379400
2023-02-08,14960,15980,14960,15790,33812500
2023-02-09,15910,16100,15610,15610,16343900
2023-02-10,15680,15760,15270,15530,15828700
2023-02-13,15460,15460,14960,15300,18741800
2023-02-14,15370,15830,15340,15610,17294600
2023-02-15,15610,15950,15340,15760,20076200
2023-02-16,15870,16210,15610,16129,23914900
2023-02-17,16129,16170,15910,15910,12287900
2023-02-20,15910,16590,15910,16590,24741700
2023-02-21,16710,16890,16370,16370,20643100
2023-02-22,16210,16740,16059,16059,32634400
2023-02-23,16020,16290,15460,16290,33590000
2023-02-24,16290,16290,15640,15760,14597600
2023-02-27,15460,15570,15120,15220,31316100
2023-02-28,15490,15530,15070,15150,15217600
2023-03-01,15150,15830,15000,15830,18619900
2023-03-02,15910,15980,15610,15610,8867400
2023-03-03,15760,15980,15420,15420,13608400
2023-03-06,15640,15790,15460,15460,11366800
2023-03-07,15610,16170,15570,15980,29323900
2023-03-08,15830,16059,15760,16059,16159600
2023-03-09,16059,16320,16059,16059,23274800
