date,open,high,low,close,volume
2023-01-03,41460,42630,41180,42580,1998900
2023-01-04,41750,42910,41750,42140,1872700
2023-01-05,42530,42630,41950,42240,1102800
2023-01-06,42240,42480,41800,41800,1507500
2023-01-09,41800,41950,40680,40680,2663500
2023-01-10,40680,41280,40590,40880,1424300
2023-01-11,40980,41850,40980,41230,1461200
2023-01-12,41230,41650,40730,40780,986100
2023-01-13,41080,41320,40730,40730,1087500
2023-01-16,40730,40980,40390,40590,1408900
2023-01-17,41080,42050,40880,41700,2760600
2023-01-18,42140,43790,41900,43540,3686900
2023-01-19,43540,44660,43350,44170,3493900
2023-01-27,44950,45430,44460,44460,2479800
2023-01-30,44460,45340,43990,44760,3206700
2023-01-31,44460,45050,43940,45050,2723800
2023-02-01,44760,45670,44270,45620,7835500
2023-02-02,45480,48340,44850,48340,4860800
2023-02-03,46540,47080,46310,46310,6219600
2023-02-06,45520,45720,44270,45670,2653000
2023-02-07,45200,46500,44270,44270,2018900
2023-02-08,44270,44560,43110,43110,1647000
2023-02-09,43010,44030,42630,42630,1472800
2023-02-10,42630,43060,40780,40780,2032500
2023-02-13,40780,41180,40210,41180,1726000
2023-02-14,41460,41650,41080,41180,803200
2023-02-15,41180,42140,41180,41410,1084700
2023-02-16,41850,42140,41460,41950,944200
2023-02-17,41950,41950,41510,41900,959100
2023-02-20,41850,42910,41410,42910,1874700
2023-02-21,43010,43840,43010,43110,1405600
2023-02-22,42630,43110,41650,41650,1644500
2023-02-23,41460,41650,40680,41650,1313900
2023-02-24,41180,41600,40300,40780,1625600
2023-02-27,39720,40590,39240,39240,1974700
2023-02-28,39240,39920,38600,38750,1567900
2023-03-01,38750,39720,38020,39520,1520500
2023-03-02,39520,39720,38750,39050,868900
2023-03-03,39050,39320,38170,38170,1857500
2023-03-06,38700,39240,38170,38170,1474200
2023-03-07,38750,38950,37970,38460,1585700
2023-03-08,37790,38310,37440,38170,2029100
2023-03-09,38360,39270,38310,38750,2116000
2023-03-10,38650,38850,38170,38510,1573000
2023-03-13,38510,38750,38170,38170,1349100
2023-03-14,38070,38360,37110,37390,1611600
2023-03-15,38360,38850,38170,38750,1899200
2023-03-16,38750,38750,37590,38170,1665000
2023-03-17,38650,38650,37640,38170,953800
2023-03-20,37790,38170,36860,36910,2298600
2023-03-21,37590,37590,36330,37290,1411300
2023-03-22,37440,37440,36810,36910,1181500
2023-03-23,36430,36760,36330,36520,1155400
2023-03-24,36430,37010,36430,36760,1729500
2023-03-27,36810,37240,36660,37010,2261100
2023-03-28,37010,38070,36910,37880,3965200
2023-03-29,38020,38120,37540,37690,1573100
2023-03-30,37590,37970,36960,37290,2470800
2023-03-31,37340,37740,37060,37340,1659500
2023-04-03,37790,37970,37490,37690,1837200
2023-04-04,37880,38700,37830,38560,2985700
2023-04-05,38560,38600,38260,38510,1735900
2023-04-06,38750,38750,37830,38170,1741600
2023-04-07,37640,37830,37290,37790,1886100
2023-04-10,37970,39870,37970,39620,5488700
2023-04-11,39720,39720,38950,39370,2593600
2023-04-12,39240,40390,39240,39570,3818100
2023-04-13,39720,40010,39370,39820,2903200
2023-04-14,39960,40110,38750,39050,2183100
2023-04-17,38600,38750,38310,38560,1275200
2023-04-18,39270,39470,38700,38850,2578200
2023-04-19,38800,40010,38750,39050,2834200
2023-04-20,39240,39240,38650,38800,1246900
2023-04-21,39140,39140,38120,38260,2422500
2023-04-24,37970,38070,37060,37160,3050800
2023-04-25,37390,37590,36330,36480,2611400
2023-04-26,36520,37190,36480,37110,1733100
2023-04-27,37290,37440,36960,36960,983900
2023-04-28,37440,37830,37390,37690,1826600
2023-05-04,36910,37690,36710,36810,2300900
2023-05-05,36710,36910,36480,36810,1114200
2023-05-08,36610,37060,36610,36760,1166800
2023-05-09,36660,37160,36660,36760,827400
2023-05-10,36860,37790,36710,37690,2118000
2023-05-11,37920,38120,37340,37440,1541900
2023-05-12,37540,37880,37010,37790,1872000
2023-05-15,37920,38170,37640,37740,2613600
2023-05-16,37690,37740,37010,37160,2019200
2023-05-17,37240,37440,36760,36960,1326900
2023-05-18,37340,37490,36910,36960,1533100
2023-05-19,36910,36960,36610,36960,1566700
2023-05-22,37160,37440,36860,37110,1410500
2023-05-23,37440,37590,37010,37060,1467700
2023-05-24,37190,37240,36710,36760,1246300
2023-05-25,36760,37190,36610,36810,1477500
2023-05-26,36860,37190,36810,37010,882500
2023-05-29,37240,37490,36960,37490,2263500
2023-05-30,37640,38560,37640,38170,4818400
2023-05-31,38070,38220,37740,37970,1975100
2023-06-01,38120,38260,37490,38070,2907500
2023-06-02,38220,39570,37970,39520,5707900
2023-06-05,39720,40300,39520,39920,6617800
2023-06-06,39920,40730,39770,40490,4665200
2023-06-07,40490,40640,39770,40490,4745100
2023-06-08,40680,40680,39320,39370,4513900
2023-06-09,39720,40110,39240,40110,4124000
2023-06-12,40340,41650,40210,41650,7248100
2023-06-13,42050,42050,41280,41650,3399100
2023-06-14,41650,41650,40730,40730,3321400
2023-06-15,40730,41080,40160,40390,2810300
2023-06-16,40640,40980,39870,40060,4410000
2023-06-19,40060,40390,39820,40210,2063100
2023-06-20,40300,41180,40300,41180,2476500
2023-06-21,41180,41360,40880,41360,2565900
2023-06-22,41510,42290,41030,41700,4105500
2023-06-23,41700,41850,41360,41550,2158100
2023-06-26,42190,43110,41280,42960,5457500
2023-06-27,42960,43490,42380,42810,2478000
2023-06-28,42810,43060,41850,42530,3989700
2023-06-29,42140,42530,41360,41360,3289500
2023-06-30,41360,42530,41180,41950,3505400
2023-07-03,42090,42290,41460,41650,1799500
2023-07-04,41550,42290,41320,41900,4437300
2023-07-05,42090,43060,42000,42000,7263000
2023-07-06,42050,42380,41510,41850,4541700
2023-07-07,41700,44080,41700,44080,7401500
2023-07-10,44610,46260,44360,46260,10232900
2023-07-11,46120,47280,45870,47280,8177100
2023-07-12,46840,47750,46690,47610,4791400
2023-07-13,47660,48340,47610,47800,4813500
2023-07-14,47800,47900,46980,47900,5904700
2023-07-17,47950,48300,47130,47130,2785300
2023-07-18,46890,47080,46260,46540,4613000
2023-07-19,46890,47420,46450,46980,3483900
2023-07-20,46890,47950,46890,47570,5454300
2023-07-21,47570,50860,47420,50860,11731700
2023-07-24,51350,52790,50380,52790,4072400
2023-07-25,52790,52790,51250,51920,4429400
2023-07-26,51920,52500,50380,50960,5446900
2023-07-27,51250,53300,51060,52910,5823100
2023-07-28,52710,53700,52030,53300,3871700
2023-07-31,52810,53010,51450,52520,7864600
2023-08-01,52910,52910,50560,50560,7531800
2023-08-02,50560,51350,50460,50560,5318300
2023-08-03,50660,52520,50270,51540,7997000
2023-08-04,51830,52030,51150,51830,7529400
2023-08-07,52520,53700,52130,52620,6494400
2023-08-08,52810,53110,52230,52430,5735000
2023-08-09,52230,52230,50860,51450,8966000
2023-08-10,51830,51830,50560,50860,4979900
2023-08-11,51060,52130,49880,52130,6318800
2023-08-14,52710,53110,51450,53010,9615900
2023-08-15,53400,54670,52810,52810,8379700
2023-08-16,52810,53110,51830,52620,5141100
2023-08-17,52910,53980,52230,52710,7226900
2023-08-18,52710,52710,49090,49090,14262600
2023-08-21,48910,49390,47680,47920,7064800
2023-08-22,48020,49090,46310,48910,10145800
2023-08-23,49590,49590,48120,48610,4957900
2023-08-24,48610,49690,48610,49190,5727600
2023-08-25,49190,50270,48910,49390,7139000
2023-08-28,49780,50760,49290,50560,8495500
2023-08-29,50660,52030,50370,51740,8303900
2023-08-30,51830,53300,51740,52620,7312500
2023-08-31,52810,53200,52330,52620,5206100
2023-09-05,52620,54280,52230,53110,8353500
2023-09-06,53110,54380,52620,53800,5121300
2023-09-07,53980,54570,53110,53800,5993300
2023-09-08,53300,55250,53300,54280,7805800
2023-09-11,54570,54970,52620,53300,8457600
2023-09-12,53300,54570,52810,54570,4794300
2023-09-13,54870,58000,54280,56240,16051000
2023-09-14,56430,57220,55850,56040,8439000
2023-09-15,56240,56240,54180,54670,7838900
2023-09-18,54380,54380,52910,53800,6610200
2023-09-19,53890,54280,51830,54280,8835900
2023-09-20,53890,54970,53400,54570,6834800
2023-09-21,54570,54570,53010,53010,9500900
2023-09-22,51930,52230,50180,50960,11804800
2023-09-25,50460,51830,48810,49880,7693400
2023-09-26,49980,50560,49390,50370,8271400
2023-09-27,49980,50860,49090,50860,4904400
2023-09-28,51740,53500,51350,51830,8909300
2023-09-29,52620,52620,51450,51450,4945900
2023-10-02,51450,51830,50660,50760,4207600
2023-10-03,50370,50370,47240,47920,8976200
2023-10-04,46940,48910,46940,48120,4826800
2023-10-05,48810,48810,45970,45970,6348200
2023-10-06,45870,47440,45280,47240,5188100
2023-10-09,47290,47820,46600,46900,6457800
2023-10-10,47340,48360,47340,47770,4821300
2023-10-11,47920,48220,47540,48220,3478300
2023-10-12,48220,48410,47140,47340,13700700
2023-10-13,47440,48410,47390,48410,9845400
2023-10-16,48410,49590,47540,47540,8502700
2023-10-17,47820,47820,45280,45280,7887900
2023-10-18,45770,45970,42700,43720,11414600
2023-10-19,43230,43720,42050,42050,8072300
2023-10-20,42050,44020,42050,43720,7022500
2023-10-23,43720,43870,41660,42050,8575600
2023-10-24,42150,42650,40830,42050,8218500
2023-10-25,42050,43230,42050,42550,4769400
2023-10-26,41280,41470,39610,41080,15050000
2023-10-27,41370,41560,40490,41080,4691100
2023-10-30,40200,40830,39610,39610,4251000
2023-10-31,39510,39810,36870,36870,13208100
2023-11-01,36190,36870,34330,34330,21092800
2023-11-02,35110,36580,32870,36190,21181700
2023-11-03,36670,38340,36190,38090,12409700
2023-11-06,38140,38140,36770,37210,12639800
2023-11-07,37070,38580,36670,37360,10423200
2023-11-08,36490,38730,35890,38730,19608000
2023-11-09,39610,40440,39030,39410,12143300
2023-11-10,38880,39410,38140,38540,11053600
2023-11-13,38680,39410,38190,39120,9192300
2023-11-14,40100,41180,39910,40590,15235500
2023-11-15,41470,41560,40440,40980,10338300
2023-11-16,40590,40680,39810,40590,10534200
2023-11-17,40590,41560,39760,40490,10996900
2023-11-20,39270,40730,39270,39660,7558500
2023-11-21,40590,40590,39710,40000,5778700
2023-11-22,39910,39960,38440,38930,14503500
2023-11-23,39120,39410,36490,36490,8073600
2023-11-24,37070,37710,36340,37710,11181000
2023-11-27,37660,37710,37170,37170,5269900
2023-11-28,37210,37310,36530,37170,6131600
2023-11-29,37310,38580,37310,37940,8518200
2023-11-30,37990,38240,37660,37660,4030900
2023-12-01,37890,38140,37210,37890,4161100
2023-12-04,38040,39560,37940,39070,10597400
2023-12-05,39070,39220,38830,39120,6197600
2023-12-06,39120,40150,39070,40050,9053800
2023-12-07,40150,40200,38630,39960,10595000
2023-12-08,39910,42050,39510,41660,16804000
2023-12-11,41660,41710,40980,41560,6207500
2023-12-12,41560,41660,41180,41560,5956500
2023-12-13,41860,42650,40640,40780,10863600
2023-12-14,41180,41370,40490,40680,6544400
2023-12-15,40680,40680,39610,39860,9350200
2023-12-18,40050,40050,38630,38730,8699600
2023-12-19,38630,40000,38340,39760,5738900
2023-12-20,39760,41470,39610,41470,12451800
2023-12-21,41280,41760,40930,41710,7205700
2023-12-22,41520,41710,41080,41420,6074600
2023-12-25,41420,42740,41420,41710,8477900
2023-12-26,41610,42200,41420,41760,6768400
2023-12-27,41760,42100,41610,41910,5243000
2023-12-28,41910,42300,41860,42100,6371500
2023-12-29,42250,42350,41710,41860,4181100
2024-01-02,42150,42350,41230,41520,7140400
2024-01-03,41470,42500,41080,42250,6083900
2024-01-04,42250,42830,42050,42250,8516100
2024-01-05,42250,43130,42050,42880,9042100
2024-01-08,43330,43330,42250,42250,6213200
2024-01-09,42200,42250,41470,41760,9017100
2024-01-10,41760,41960,40980,41330,6770700
2024-01-11,41330,42200,41280,41520,4992900
2024-01-12,40930,41660,40880,40980,7139700
2024-01-15,41610,42350,41330,41960,8986100
2024-01-16,41960,43430,41860,43330,17419100
2024-01-17,43330,44600,43330,43920,12486000
2024-01-18,43920,44840,43620,44840,8902000
2024-01-19,44990,45670,44300,45040,10717800
2024-01-22,45090,45280,44150,45140,7235900
2024-01-23,45140,45140,44250,44400,6100600
2024-01-24,44200,44450,43380,43430,9683400
2024-01-25,43280,44200,43130,44200,7530100
2024-01-26,44020,44500,43770,43920,3781900
2024-01-29,43970,44150,43520,43620,4128300
2024-01-30,43620,44450,43520,44400,7138200
2024-01-31,44700,44890,43670,44020,8743600
2024-02-01,44020,45670,44020,45190,11303100
2024-02-02,45480,46360,45090,46360,11946800
2024-02-05,46460,46550,45770,46360,7536900
2024-02-06,46460,46460,45770,45970,5404000
2024-02-07,45920,46020,45430,45570,5707100
2024-02-15,45920,45970,44840,44840,9340100
2024-02-16,45380,45570,44800,45280,5001500
2024-02-19,45480,46170,45140,45770,7504700
2024-02-20,45920,45920,44990,45770,7870400
2024-02-21,45670,45670,44990,45090,6479800
2024-02-22,45280,45280,44200,44300,11202700
2024-02-23,44300,44550,42980,43030,17637600
2024-02-26,43030,43520,42100,43380,13530900
2024-02-27,43720,44200,43430,43770,9636200
2024-02-28,44020,44840,43770,44300,13790900
2024-02-29,45380,45970,44990,45190,13891900
2024-03-01,45520,46260,45090,45570,15362500
2024-03-04,45570,46900,45570,46360,16593900
2024-03-05,46550,48910,46460,48910,22380300
2024-03-06,48910,49190,47240,47630,15082600
2024-03-07,47630,48170,47040,47920,9439900
2024-03-08,48170,48170,45970,46700,20599700
2024-03-11,46460,47240,45240,45380,13804500
2024-03-12,45140,46850,45040,45720,16650100
2024-03-13,45770,47630,45770,47490,8934000
2024-03-14,47730,47920,46070,46220,13304100
2024-03-15,46220,46650,45520,46310,8865700
2024-03-18,46170,46900,44650,44890,12153200
2024-03-19,44990,45380,44350,44500,8063800
2024-03-20,44600,47590,44600,46940,20639900
2024-03-21,47440,47870,46940,47440,9096600
2024-03-22,47630,48310,46940,48020,12080800
2024-03-25,47920,49190,47240,47240,10366400
2024-03-26,47240,47820,46750,47590,7523200
2024-03-27,47730,50270,47490,49590,12737300
2024-03-28,49690,51060,49290,49880,11651700
2024-03-29,49880,50860,49690,49980,11812000
2024-04-01,49690,51450,49590,50270,13699100
2024-04-02,49880,50460,48860,50460,12311500
2024-04-03,49880,50080,48810,49090,14384300
2024-04-04,48910,49590,47920,49590,13048500
2024-04-05,48910,50370,48360,49880,8145300
2024-04-08,49880,49880,48710,48910,6085000
2024-04-09,48910,51930,48710,51640,19487100
2024-04-10,51740,52030,50560,50860,10159900
2024-04-11,50080,51640,50080,51150,6968900
2024-04-12,51150,51450,50460,50860,6665600
2024-04-15,50560,50860,48410,48810,16505200
2024-04-16,48410,48910,47630,48810,11616300
2024-04-17,49290,49290,47870,48310,6951200
2024-04-19,48170,48220,46990,47140,9473100
2024-04-22,48120,48310,47090,47540,12292300
2024-04-23,48020,49190,47590,48710,18043000
2024-04-24,49090,51150,48760,51150,11530800
2024-04-25,50960,52620,50270,52620,19317400
2024-04-26,52330,53800,51830,53700,11864700
2024-05-02,54770,55550,53500,54380,21954900
2024-05-03,54480,55950,53800,54480,29616700
2024-05-06,54870,57510,54570,57020,11257200
2024-05-07,57510,58190,56240,58000,9460000
2024-05-08,57320,58000,56920,57800,8126500
2024-05-09,57700,57900,57120,57610,10475400
2024-05-10,57510,57700,56140,57610,9750700
2024-05-13,57610,57610,56720,57020,7241900
2024-05-14,57220,59660,56720,58780,16222000
2024-05-15,59270,60740,58690,59460,13069600
2024-05-16,59560,59760,58390,58590,12942100
2024-05-17,58490,58970,57700,58290,8962800
2024-05-20,58690,60240,58190,58690,9202200
2024-05-21,59270,59960,58690,59170,4730800
2024-05-22,59270,60240,58290,59660,8945300
2024-05-23,59370,60640,58690,60640,8859900
2024-05-24,59860,60340,57610,59170,13646200
2024-05-27,58780,59170,57900,58690,6367800
2024-05-28,59070,61420,58780,60140,9931000
2024-05-29,60240,60640,59170,59170,6883200
2024-05-30,58590,61420,57900,61420,14761100
2024-05-31,61420,62980,61030,62200,10260200
2024-06-03,62500,62690,61810,62600,8257800
2024-06-04,62600,62790,61710,62400,6569500
2024-06-05,61610,61910,60240,60640,13778200
2024-06-06,60640,61130,60240,60540,7071800
2024-06-07,60930,61420,60440,60740,4298200
2024-06-10,60830,61910,60640,61610,4849000
2024-06-11,61910,62010,60440,60930,6438600
2024-06-12,61230,62500,60640,62010,5024800
2024-06-13,62300,62980,61710,62600,7862300
2024-06-14,62600,62790,61610,61610,8119800
