date,open,high,low,close,volume
2022-01-04,47750,49500,47390,49070,2734500
2022-01-05,49150,50110,48800,48880,1640600
2022-01-06,48880,49770,48450,48720,1242900
2022-01-07,49070,49770,48880,49410,1521100
2022-01-10,49770,49940,48540,48540,1308200
2022-01-11,48180,48540,47390,47490,1115000
2022-01-12,49150,49150,47130,48110,1388500
2022-01-13,48280,48720,47490,47580,1055200
2022-01-14,47390,48280,47130,48280,884000
2022-01-17,49150,49600,46960,47050,1814400
2022-01-18,46780,47750,46420,47390,1129000
2022-01-19,47840,47920,47130,47490,1004200
2022-01-20,47490,47840,46960,47490,669600
2022-01-21,47490,48450,46960,48110,1281700
2022-01-24,48110,48980,47660,47660,1088400
2022-01-25,47490,47840,47050,47750,977300
2022-01-26,48110,50210,47580,50030,4913800
2022-01-27,50910,50910,50030,50030,1932200
2022-01-28,50030,50470,48800,49240,1430900
2022-02-07,50210,52660,49770,51520,3957700
2022-02-08,50990,52050,50990,51600,1986900
2022-02-09,51600,53460,51090,52130,2814400
2022-02-10,52570,53280,52130,53090,3213700
2022-02-11,53360,53460,52050,52130,2724600
2022-02-14,52840,54330,52490,52840,3147700
2022-02-15,52930,53020,51160,51790,2402200
2022-02-16,51160,51870,50640,51790,1851300
2022-02-17,51520,53280,51090,52660,2257800
2022-02-18,52400,53020,52050,52490,1749200
2022-02-21,53190,53280,52490,52570,2326000
2022-02-22,53190,55730,52660,54420,5660600
2022-02-23,54950,56530,54770,54850,4311700
2022-02-24,54950,57830,54420,55650,5798300
2022-02-25,55380,55910,53980,54770,3042900
2022-02-28,55290,55730,54510,54680,2428900
2022-03-01,54770,55120,53550,53810,3577800
2022-03-02,55290,56260,53980,53980,5368100
2022-03-03,54770,55650,53890,55120,3080600
2022-03-04,54600,54770,53620,53620,2848300
2022-03-07,55120,56340,54240,55560,6669400
2022-03-08,54850,55290,53810,53810,2878000
2022-03-09,54420,56090,53810,55290,3721600
2022-03-10,54420,54420,53460,53810,2906400
2022-03-11,53810,54150,50470,50910,5639500
2022-03-14,50470,50910,48980,49070,3858900
2022-03-15,48540,49940,47840,49150,2592000
2022-03-16,49500,49600,48620,49340,1634500
2022-03-17,49500,49500,48800,48980,1490400
2022-03-18,49500,49860,49070,49070,1514600
2022-03-21,49150,49860,48880,49150,1400300
2022-03-22,49670,50380,49600,49860,1998000
2022-03-23,49860,50030,49150,49150,1522600
2022-03-24,49770,49770,49070,49150,1447000
2022-03-25,49150,50030,48880,49150,1417700
2022-03-28,49150,49860,48800,49150,1764000
2022-03-29,49070,49670,49070,49500,1586400
2022-03-30,49340,49410,48280,48280,2248900
2022-03-31,48280,48800,47750,48450,1938200
2022-04-01,48280,48800,47840,48360,1340600
2022-04-04,48620,49500,48540,49340,1692600
2022-04-05,49500,49940,49240,49240,926100
2022-04-06,48880,49410,48800,49150,1262500
2022-04-07,49150,50380,48980,49670,3131500
2022-04-08,49670,50300,49340,49340,1558900
2022-04-12,49340,49340,47920,47920,1465200
2022-04-13,48110,48280,47300,48010,1274500
2022-04-14,48180,48620,47750,48010,1030400
2022-04-15,48110,48880,47840,48010,1178200
2022-04-18,48010,48720,46420,46420,1985100
2022-04-19,46690,47390,44760,44760,1352700
2022-04-20,44760,45900,44600,45030,1732500
2022-04-21,45130,45380,43980,44150,2002500
2022-04-22,44320,44760,42830,43980,2086000
2022-04-25,44060,44240,40910,40910,2303200
2022-04-26,39500,41950,39150,41950,2044300
2022-04-27,41510,42400,41070,42400,593900
2022-04-28,42490,42490,41680,41950,609700
2022-04-29,41880,42560,41610,42130,871300
2022-05-04,42130,43270,42130,42700,779900
2022-05-05,43100,43440,41560,41780,1542400
2022-05-06,40820,41250,40200,40200,1026300
2022-05-09,40160,40160,37390,37390,2497600
2022-05-10,35370,37740,35370,37470,1181500
2022-05-11,37780,37780,36330,36430,1273100
2022-05-12,36430,37090,33880,33880,2073500
2022-05-13,33880,34230,32520,32780,2015800
2022-05-16,33610,35060,33610,34320,1598100
2022-05-17,34320,36700,34320,36700,1495800
2022-05-18,36950,36950,36120,36330,1216200
2022-05-19,35280,36170,35280,35550,1367000
2022-05-20,35650,36600,35500,35550,1106000
2022-05-23,35990,35990,35150,35330,1090900
2022-05-24,35550,35550,34320,35110,770900
2022-05-25,35650,36430,35110,36330,1234100
2022-05-26,36550,38010,36330,37350,1650500
2022-05-27,37440,37710,37300,37390,1051000
2022-05-30,37660,38270,37570,38090,1268600
2022-05-31,38010,39410,37710,38630,2119400
2022-06-01,38630,39360,38530,39060,1321500
2022-06-02,38630,38960,38190,38190,1442600
2022-06-03,38270,38880,37920,38190,1338800
2022-06-06,38800,39680,38800,39410,1695100
2022-06-07,39410,41120,38450,40990,1631000
2022-06-08,41390,42040,41070,41120,2041700
