date,open,high,low,close,volume
2021-01-04,13672,14114,13524,13868,13808900
2021-01-05,13721,14163,13672,13967,9595700
2021-01-06,14114,14163,13573,13672,15814800
2021-01-07,13672,13967,13426,13770,18878300
2021-01-08,13967,13967,13573,13721,17665900
2021-01-11,13868,14409,13819,14360,14990800
2021-01-12,14508,14508,14114,14360,10218500
2021-01-13,14360,14360,13967,13967,12927200
2021-01-14,13967,14065,13672,13967,13572300
2021-01-15,13967,14360,13967,14114,11154600
2021-01-18,14262,14950,14114,14508,16600500
2021-01-19,14557,14852,13524,13622,16957800
2021-01-20,13819,14016,12885,13770,13429400
2021-01-21,14065,14360,13721,14114,10056900
2021-01-22,14114,14508,13918,14114,11368400
2021-01-25,13918,14213,13868,13918,7333100
2021-01-26,13967,13967,12983,13278,10346400
2021-01-27,12885,13327,12393,12590,14521900
2021-01-28,11754,12098,11754,11754,9377000
2021-01-29,10967,12295,10967,11704,12247000
2021-02-01,11655,12147,11311,11311,12195500
2021-02-02,11311,11606,11065,11459,9166200
2021-02-03,11803,12245,11704,12245,16931600
2021-02-04,12590,12737,12245,12393,15551800
2021-02-05,12393,12590,12295,12491,5998400
2021-02-08,12442,12590,11704,11950,12156400
2021-02-09,12098,12245,11704,12147,7941500
2021-02-17,12442,12786,12295,12786,9935900
2021-02-18,12934,13081,12590,12836,11708900
2021-02-19,12688,13081,12688,12836,8101200
2021-02-22,12836,12934,12639,12688,9439200
2021-02-23,12786,12836,12540,12639,9370900
2021-02-24,12737,12836,12295,12442,10513000
2021-02-25,12590,12688,12295,12491,8492300
2021-02-26,12295,12491,12196,12393,7515500
2021-03-01,12491,12885,12442,12836,10267400
2021-03-02,12983,12983,12688,12737,10191700
2021-03-03,12688,12737,12540,12639,8794600
2021-03-04,12737,12737,12196,12393,10157900
2021-03-05,12737,13229,12688,13229,44357300
2021-03-08,14114,14114,13819,13918,34227700
2021-03-09,13721,13770,13377,13377,28684500
2021-03-10,13229,13770,13131,13426,22201300
2021-03-11,13721,13721,13475,13573,13652000
2021-03-12,13672,13721,13426,13524,13528800
2021-03-15,13524,13622,13426,13475,15883100
2021-03-16,13475,13475,13081,13377,20292100
2021-03-17,13524,13967,13475,13721,25717600
2021-03-18,13868,13918,13524,13622,11404800
2021-03-19,13475,13524,13180,13180,21629500
2021-03-22,13278,13475,13229,13327,14660600
2021-03-23,13377,13426,12983,13081,14109000
2021-03-24,12737,12885,12393,12540,24200900
2021-03-25,12590,12786,12393,12393,13389000
2021-03-26,12295,12639,11901,12491,14529800
2021-03-29,12737,13032,12491,12885,11148900
2021-03-30,12983,13180,12786,12983,11588000
2021-03-31,12786,13180,12786,12983,8988500
2021-04-01,12983,13573,12786,13426,21872400
2021-04-02,13524,13622,13278,13377,11785100
2021-04-05,13622,13622,13278,13426,12615100
2021-04-06,13377,13426,13131,13229,13868900
2021-04-07,13278,13819,13131,13721,23912700
2021-04-08,13770,13819,13426,13573,13369700
2021-04-09,13622,13672,13475,13573,13053600
2021-04-12,13721,14262,13524,14016,39387800
2021-04-13,14065,14114,13475,13622,16991000
2021-04-14,13377,13672,13327,13573,14854400
2021-04-15,13672,13672,13180,13180,21610400
2021-04-16,13081,13327,12590,12983,21614100
2021-04-19,13081,13081,12737,12885,11302100
2021-04-20,12934,13081,12737,12786,11344700
2021-04-22,12639,12786,12147,12147,16952500
2021-04-23,12147,12393,11950,12393,14126600
2021-04-26,12540,12540,11852,11901,11207300
2021-04-27,11901,12147,11704,11901,8043200
2021-04-28,11901,12344,11901,12000,7027100
2021-04-29,12196,12245,12000,12098,5736700
