date,open,high,low,close,volume
2023-01-03,72290,73300,71060,71390,121700
2023-01-04,71480,73520,71390,72450,116900
2023-01-05,72670,77520,72450,73600,255300
2023-01-06,74870,77140,73600,76350,130100
2023-01-09,75840,76890,74280,75890,46900
2023-01-10,75930,76130,74400,74400,101200
2023-01-11,76040,76850,76040,76470,155000
2023-01-12,76890,76890,75630,75960,30200
2023-01-13,75960,78760,75960,78550,218100
2023-01-16,79410,80220,78620,79640,105300
2023-01-17,79410,79640,77020,79000,88600
2023-01-18,81130,81130,79000,79000,75200
2023-01-19,80270,81540,78460,78460,201700
2023-01-27,78500,82390,78500,81580,133600
2023-01-30,81580,81580,80060,80270,177800
2023-01-31,79000,80620,78800,79860,55500
2023-02-01,79860,80490,78840,79000,170700
2023-02-02,80270,80910,78620,79220,88700
2023-02-03,78500,81460,78500,81460,105300
2023-02-06,80490,82560,80320,82560,78800
2023-02-07,81130,83230,80770,80770,28900
2023-02-08,79860,83860,79860,83310,109700
2023-02-09,83360,84070,81130,81870,49900
2023-02-10,82810,82810,79940,80030,70900
2023-02-13,79860,81080,78760,81080,87900
2023-02-14,81490,81490,79050,79410,51400
2023-02-15,79460,80910,79410,79860,77000
2023-02-16,79460,80490,79410,80140,27700
2023-02-17,80140,80270,78840,79050,45300
2023-02-20,80700,81490,79640,80360,69800
2023-02-21,79260,80620,79260,80490,84500
2023-02-22,80700,80700,79000,79000,82100
2023-02-23,79860,79890,78160,79050,77700
2023-02-24,79050,80110,78160,79860,98800
2023-02-27,80270,80270,78210,78300,57600
2023-02-28,80270,80390,78370,79410,96900
2023-03-01,78590,81320,78420,81320,41400
2023-03-02,80100,80690,79450,79890,38300
2023-03-03,80390,80390,78640,79410,92400
2023-03-06,81490,81490,78570,78570,76300
2023-03-07,78990,80270,78640,79380,122700
2023-03-08,78310,79210,78310,79210,97300
2023-03-09,79210,79450,79160,79210,216700
2023-03-10,78450,79450,78450,78820,266700
2023-03-13,79340,79410,78990,79410,353500
2023-03-14,79710,80690,79410,80690,261300
2023-03-15,80950,81320,80310,80480,233800
2023-03-16,80650,83240,79410,81130,308100
2023-03-17,81130,81540,80360,81540,406900
2023-03-20,80740,81630,79040,80270,42400
2023-03-21,80270,80690,78940,78990,141600
2023-03-22,78780,80220,77930,78400,153700
2023-03-23,79630,79930,78230,79850,75700
2023-03-24,78570,79930,78570,79800,108200
2023-03-27,79040,79850,78870,78940,29400
2023-03-28,78990,79210,78640,78990,45000
2023-03-29,79340,79340,78190,78350,49000
2023-03-30,79120,79120,78310,78780,59000
2023-03-31,78570,78910,78140,78140,47800
2023-04-03,78140,78350,77000,77080,81200
2023-04-04,76960,77130,75510,75650,150400
2023-04-05,75650,75650,74650,74650,156500
2023-04-06,75800,75800,74950,75090,141300
2023-04-07,75170,75560,75040,75130,28400
2023-04-10,75430,75430,74750,74750,180500
2023-04-11,74650,74840,74330,74330,119100
2023-04-12,73980,73980,72490,72580,327400
2023-04-13,72830,73350,71680,71680,175200
2023-04-14,71990,72190,71050,71050,259900
2023-04-17,70750,70930,69870,69870,216900
2023-04-18,69950,71340,69900,70240,161000
2023-04-19,71230,72620,70580,72450,306900
2023-04-20,72920,73640,72620,73430,228100
2023-04-21,73250,73300,72420,72450,131900
2023-04-24,72420,72720,72420,72670,102500
2023-04-25,72670,72720,71860,71860,184400
2023-04-26,72620,72830,72540,72620,160700
2023-04-27,72620,72880,71990,72790,124100
2023-04-28,74020,74230,73690,74150,57400
2023-05-04,73060,73060,70540,70620,94700
2023-05-05,70840,71140,70290,70290,102200
2023-05-08,70500,70840,70410,70840,51300
2023-05-09,70930,70930,70120,70210,64500
2023-05-10,70120,70410,70120,70210,90000
2023-05-11,70210,71780,69870,69990,147900
2023-05-12,70240,70370,69180,69440,142300
2023-05-15,69950,70330,69650,69700,115000
2023-05-16,70070,70070,69150,69230,65400
2023-05-17,69230,69230,68840,69010,91900
2023-05-18,69010,69230,68630,68930,179900
2023-05-19,68930,68930,67990,67990,67500
2023-05-22,68250,68710,68040,68390,64300
2023-05-23,68590,68710,67190,67530,144600
2023-05-24,67780,67900,67330,67330,116500
2023-05-25,67330,67440,66250,67100,97500
2023-05-26,67100,67100,65830,66040,70600
2023-05-29,66080,66840,65910,65950,90900
2023-05-30,66000,66380,65950,66250,145600
2023-05-31,66250,67330,66250,67100,157900
2023-06-01,66420,67530,66420,67190,126100
2023-06-02,67730,67730,66930,67100,138700
2023-06-05,67950,68080,67580,67690,113300
2023-06-06,67900,67990,67650,67950,126800
2023-06-07,67990,68080,67780,67870,205100
2023-06-08,68040,68040,67730,67870,158200
2023-06-09,68390,68390,67730,67730,27400
2023-06-12,67780,69530,67780,69450,109100
2023-06-13,69500,69530,68850,69370,84600
2023-06-14,69370,70090,68850,69450,203200
2023-06-15,69790,69790,68160,68160,108600
2023-06-16,69020,69020,66450,66450,234900
2023-06-19,67320,67320,66840,67220,129400
2023-06-20,67220,67220,66550,66570,97800
2023-06-21,66570,66800,66200,66450,136800
2023-06-22,66880,66880,66360,66360,145800
2023-06-23,66360,67100,66200,67100,198600
2023-06-26,67690,67690,66880,66880,139900
2023-06-27,66710,67320,66200,66200,194600
2023-06-28,66610,66610,66280,66320,84800
2023-06-29,66550,66550,66030,66030,179800
2023-06-30,66200,66200,65800,65850,152700
2023-07-03,66030,66360,65800,65890,78100
2023-07-04,65890,66150,65770,65850,99000
2023-07-05,65930,66360,65850,65930,80000
2023-07-06,65930,66030,65770,65770,91400
2023-07-07,65850,66200,64690,64739,203600
2023-07-10,64780,64860,64310,64430,197800
2023-07-11,64310,64660,64310,64310,203500
2023-07-12,64310,65160,64310,64739,99000
2023-07-13,64819,66030,64819,65800,206700
2023-07-14,65850,65930,65630,65930,119200
2023-07-17,66150,66500,65590,65800,121100
2023-07-18,65930,66100,65430,65630,123200
2023-07-19,65630,65850,65510,65510,151100
2023-07-20,65510,65980,65470,65680,111000
2023-07-21,65630,65680,65330,65630,122400
2023-07-24,65730,66660,65730,66450,232100
2023-07-25,66800,67780,66550,67730,379300
2023-07-26,67690,69370,67690,69270,199200
2023-07-27,69020,69240,68390,68680,151300
2023-07-28,68600,68680,67320,67320,324400
2023-07-31,67270,68460,67130,67220,275500
2023-08-01,68200,68600,67730,67900,132400
2023-08-02,68300,68300,67620,68130,122100
2023-08-03,68420,69240,68160,69240,280200
2023-08-04,69670,69670,68390,68800,245900
2023-08-07,68680,69530,68420,69020,285100
2023-08-08,69580,69580,68850,69270,168600
2023-08-09,69270,69320,68720,69020,127500
2023-08-10,69150,69150,68600,68850,180900
2023-08-11,68600,68850,67950,68390,187300
2023-08-14,68160,68420,67730,67730,163000
2023-08-15,67730,67730,67180,67430,147600
2023-08-16,68160,68390,67320,67430,218500
2023-08-17,67430,67430,66710,66840,193600
2023-08-18,66660,67950,65470,65850,305400
2023-08-21,66240,66240,65160,65470,208300
2023-08-22,65470,65770,64310,64310,390700
2023-08-23,65379,65510,64310,64349,353200
2023-08-24,66400,66450,65680,65800,609400
2023-08-25,66570,67830,66320,66970,430600
2023-08-28,67730,67730,66840,67010,286700
2023-08-29,67100,68300,66840,67780,275400
2023-08-30,68390,68940,68040,68500,279300
2023-08-31,68600,68800,67730,67730,295100
2023-09-05,68160,68770,67950,68080,335400
2023-09-06,67870,68600,67870,68160,239300
2023-09-07,68340,69020,68300,68800,235200
2023-09-08,68940,69370,68600,68850,285700
2023-09-11,69270,72830,69270,71800,844600
2023-09-12,72830,73090,71940,72420,482800
2023-09-13,72490,72790,71380,71510,685100
2023-09-14,75450,75450,72110,73060,1162600
