date,open,high,low,close,volume
2021-01-04,15120,15780,15070,15590,18607800
2021-01-05,15470,15750,15380,15620,14280100
2021-01-06,15680,16110,15570,15680,20222300
2021-01-07,15950,16350,15780,16350,16387200
2021-01-08,16530,17130,16490,16860,16947900
2021-01-11,16890,17130,16630,16660,13980300
2021-01-12,16530,16780,16300,16580,16418200
2021-01-13,16750,17010,16580,16610,11399600
2021-01-14,16700,16910,16460,16890,11995200
2021-01-15,17150,17740,17130,17410,17357400
2021-01-18,17570,17570,16960,17110,13377400
2021-01-19,16960,17190,15920,16020,22796500
2021-01-20,16160,16420,15120,16300,25772300
2021-01-21,16660,17110,16300,17110,14253300
2021-01-22,17220,17440,16910,17150,12347400
2021-01-25,16890,17180,16820,16910,15639600
2021-01-26,16780,16910,15830,16530,18111400
2021-01-27,16180,16660,15420,15830,18775400
2021-01-28,14890,15590,14740,14740,27121100
2021-01-29,13990,15750,13990,15120,27420900
2021-02-01,15120,15830,14910,15220,15146700
2021-02-02,15220,16110,15100,16059,13498900
2021-02-03,16300,16780,16059,16530,18238700
2021-02-04,16530,16820,16350,16530,14141400
2021-02-05,16680,17150,16580,17150,14358200
2021-02-08,17150,17240,16059,16530,21272800
2021-02-09,16630,17190,16400,17010,16738000
2021-02-17,17440,18140,17240,18140,21134000
2021-02-18,18190,18520,17950,18380,15791300
2021-02-19,18050,18470,18050,18290,12801300
2021-02-22,18260,18350,17950,18240,14466800
2021-02-23,18330,19060,18330,18800,26384200
2021-02-24,19000,19000,18380,18470,14395400
2021-02-25,18670,18670,18190,18470,16440500
2021-02-26,18090,18590,18090,18550,15265000
2021-03-01,18750,19020,18570,19000,12622200
2021-03-02,19230,19250,18900,19040,8576800
2021-03-03,19060,19130,18900,19060,8441900
2021-03-04,19080,19130,18240,18450,16228300
2021-03-05,18380,18590,18090,18520,11169600
2021-03-08,18670,18750,18190,18350,10807100
2021-03-09,18240,18570,18050,18400,10594100
2021-03-10,18420,18620,18190,18570,9050000
2021-03-11,18750,19130,18640,18970,15369300
2021-03-12,19080,19130,18780,18920,8046800
2021-03-15,19000,19130,18850,18950,8638500
2021-03-16,18950,19000,18570,18830,11577300
2021-03-17,18900,19080,18750,19040,9542800
2021-03-18,19460,19820,19230,19820,16410100
2021-03-19,19610,19910,19610,19840,7413700
2021-03-22,19840,19840,19440,19510,10554500
2021-03-23,19420,19560,19080,19110,12997700
2021-03-24,18800,19110,18570,18570,13792100
2021-03-25,18620,18800,18520,18590,10420800
2021-03-26,18500,18730,18140,18620,10188400
2021-03-29,18750,18780,18500,18690,8380600
2021-03-30,18750,19080,18640,18920,10768300
2021-03-31,19000,19350,18920,19080,10304100
2021-04-01,19130,19370,19020,19370,11065800
2021-04-02,19650,19750,19460,19490,8261300
2021-04-05,19700,19750,19440,19610,11025600
2021-04-06,19580,20080,19420,19940,14957000
2021-04-07,19840,20110,19750,19940,7728400
2021-04-08,20030,20060,19700,19820,7518800
2021-04-09,19700,19840,19610,19650,8022500
2021-04-12,19840,19980,19650,19910,14990200
2021-04-13,20080,20080,19610,19650,15104100
2021-04-14,19420,19820,19330,19750,9753300
2021-04-15,19820,19820,19330,19330,14745100
2021-04-16,19280,19460,18700,19110,15488700
2021-04-19,19280,19700,18900,19650,11234400
2021-04-20,19630,19800,19280,19440,11225000
2021-04-22,19230,19420,18750,18750,8352800
2021-04-23,18780,19160,18470,19130,10600700
2021-04-26,19130,19280,18640,18640,12155400
2021-04-27,18640,18950,18590,18670,7370000
2021-04-28,18670,19080,18670,18870,6065200
2021-04-29,18920,19730,18870,19370,17966700
2021-05-04,19040,20510,18950,20510,31749800
2021-05-05,20970,21920,20950,21710,28214800
2021-05-06,21310,22420,21290,22250,26766000
2021-05-07,22110,22580,21920,22230,22027500
2021-05-10,22070,22860,22070,22730,19611400
2021-05-11,22730,22800,22200,22200,16021800
2021-05-12,22070,23260,22070,23260,23553400
2021-05-13,23130,23560,22680,22680,18045200
2021-05-14,23100,23130,22750,22980,13905300
2021-05-17,23030,23200,22480,22610,17123600
2021-05-18,22530,23100,22460,22840,16910000
2021-05-19,22860,23710,22860,23670,17467900
2021-05-20,23960,24000,23580,23710,13171300
2021-05-21,23620,24420,23560,24000,18850300
2021-05-24,23960,24190,23810,24040,14666700
2021-05-25,24190,24620,24190,24370,10560300
2021-05-26,24370,25040,24190,24950,16505900
2021-05-27,25130,25280,24000,24290,15941600
2021-05-28,24420,25180,24190,25040,20002700
2021-05-31,25130,25370,24660,25370,17054600
2021-06-01,25560,25650,25040,25090,12358200
2021-06-02,24990,25180,24470,24950,24560900
2021-06-03,25180,26030,24950,25890,23735700
2021-06-04,25890,26080,25510,25800,13371600
2021-06-07,25040,25700,24090,24750,20392100
2021-06-08,24710,24990,23150,23390,25295000
2021-06-09,23480,24140,23150,24000,22397000
2021-06-10,24000,24190,23620,23670,10935100
2021-06-11,23860,25130,23670,24850,29600800
2021-06-14,24900,25180,24570,24900,16827800
2021-06-15,24850,25130,24570,24710,19611800
2021-06-16,24340,24660,23860,23960,20575900
2021-06-17,23390,24000,23390,23710,18677800
2021-06-18,24090,24290,23910,24090,9956600
2021-06-21,23860,24090,23620,23810,14920700
2021-06-22,24000,24240,23760,24040,17224200
2021-06-23,24040,24620,23910,24140,13102300
2021-06-24,24240,24420,23910,24040,10692100
2021-06-25,24090,24370,23810,24370,10947700
