date,open,high,low,close,volume
2022-01-04,44420,44640,43860,44420,1133800
2022-01-05,44420,45210,43860,43860,1603100
2022-01-06,44200,44920,43800,44480,1215600
2022-01-07,44750,44920,43970,44870,966200
2022-01-10,44810,44920,44140,44420,941200
2022-01-11,44980,44980,44140,44640,952700
2022-01-12,44640,44980,43860,44980,1801500
2022-01-13,45260,47450,45090,46050,2532800
2022-01-14,46050,46900,45550,46900,1522100
2022-01-17,46670,49480,46280,48470,2628500
2022-01-18,48080,49250,47240,49250,1696600
2022-01-19,49200,49200,47790,48800,914800
2022-01-20,47900,49200,46720,48970,2794300
2022-01-21,48860,50610,48410,50150,2502300
2022-01-24,50270,52580,49590,52300,2728300
2022-01-25,52010,53980,50040,53870,2396600
2022-01-26,53870,53870,52070,53140,2523500
2022-01-27,52300,53140,50830,51170,1732900
2022-01-28,51170,51730,50040,50040,2055700
2022-02-07,50940,52240,50320,51950,1620800
2022-02-08,51950,51950,50660,51730,1146400
2022-02-09,51280,51670,50770,51050,1582900
2022-02-10,51230,52520,51170,51340,1827200
2022-02-11,51340,51500,50610,50610,1158400
2022-02-14,49540,49930,48360,48360,3629100
2022-02-15,48360,49650,47120,48920,2453500
2022-02-16,49200,49430,48590,48920,1286000
2022-02-17,48920,49310,48800,49200,1431200
2022-02-18,48590,49200,48590,49030,1066200
2022-02-21,48690,49250,48690,49150,1017900
2022-02-22,48920,48920,47790,48800,1540200
2022-02-23,48920,48920,48250,48860,986300
2022-02-24,48740,48800,47790,47960,2078700
2022-02-25,47960,48300,47790,47850,1616500
2022-02-28,47850,47850,47450,47510,1322100
2022-03-01,47510,48020,47280,47790,1295400
2022-03-02,48130,48130,47340,47790,1655600
2022-03-03,47790,48080,47620,48080,1052200
2022-03-04,47900,48080,47680,47740,1058100
2022-03-07,47400,47740,47180,47740,996900
2022-03-08,47120,47510,45830,45830,2936300
2022-03-09,45990,46720,45930,46670,1325300
2022-03-10,46670,47060,46610,46950,1154100
2022-03-11,47060,47180,46670,47120,876100
2022-03-14,46840,47340,46780,47340,1438200
2022-03-15,47240,47280,45550,45600,2385900
2022-03-16,45720,46780,45720,46390,1000600
2022-03-17,46670,46950,46500,46670,1222400
2022-03-18,46720,47900,46610,47340,1406600
2022-03-21,47340,48080,47240,47740,933900
2022-03-22,47740,48080,47740,47740,775100
2022-03-23,47740,48130,47740,47740,966600
2022-03-24,47740,47740,46950,46950,570200
2022-03-25,47240,47240,46100,46390,1137800
2022-03-28,46670,46670,46100,46330,725400
2022-03-29,46330,46670,45880,46050,1007700
2022-03-30,45990,46950,45830,46100,913900
2022-03-31,46100,46440,46100,46160,492400
2022-04-01,46160,47010,45600,46560,900300
2022-04-04,46780,47280,46440,46440,712000
2022-04-05,46560,46780,46440,46670,526100
2022-04-06,46610,47790,45930,47560,2009600
2022-04-07,47740,47900,46670,46670,928000
2022-04-08,47180,47180,46610,46670,788200
2022-04-12,46670,46780,45880,46330,841300
2022-04-13,46670,46720,46100,46330,850700
2022-04-14,46330,46610,45550,45550,1151400
2022-04-15,45660,45830,45090,45090,894800
2022-04-18,44980,45090,43630,43690,1237300
2022-04-19,43750,44140,43630,43690,1003400
2022-04-20,43860,44370,43690,44080,904600
2022-04-21,44080,44530,43970,44080,2178200
2022-04-22,44480,46440,44480,46220,2771900
2022-04-25,46220,46670,43290,45990,2479400
2022-04-26,44420,45260,44420,45260,1912000
2022-04-27,44080,46100,43970,45830,1429800
2022-04-28,45830,45880,44700,45830,564100
2022-04-29,45770,46280,44980,45490,1259200
2022-05-04,45490,45550,44420,44920,892600
2022-05-05,45260,45830,44750,45550,1019300
2022-05-06,44810,45660,44640,44640,775900
2022-05-09,44310,45210,43750,43800,1674200
2022-05-10,43350,44980,43350,44980,926000
2022-05-11,44980,45150,44420,44980,931300
2022-05-12,44420,44920,43290,43290,972300
2022-05-13,43290,43860,41040,41040,1963600
2022-05-16,42450,42960,41610,41730,1558800
