date,open,high,low,close,volume
2022-01-04,80350,82980,80160,82690,10190100
2022-01-05,82690,83460,81620,81620,7373100
2022-01-06,81620,83560,81620,82880,10551700
2022-01-07,83070,83950,81910,82980,8240800
2022-01-10,83070,84920,82200,83170,9110500
2022-01-11,83070,83270,80650,81230,6135600
2022-01-12,80650,82010,79090,81230,6533800
2022-01-13,81620,81910,79670,79870,6683500
2022-01-14,79670,80450,79290,79870,3589700
2022-01-17,79970,80160,76860,76860,8310500
2022-01-18,76950,77730,73940,74820,8073900
2022-01-19,74820,76080,74820,75400,3344400
2022-01-20,75400,77340,75200,76370,3627700
2022-01-21,77150,77240,75500,77150,5040100
2022-01-24,76470,76760,74040,74040,5605300
2022-01-25,74330,78700,73550,78700,5762000
2022-01-26,78700,78900,77730,78900,3922600
2022-01-27,78900,79480,77440,78700,4446800
2022-01-28,78120,78900,77920,78020,3900100
2022-02-07,79290,80650,78900,79870,4868100
2022-02-08,80160,80160,78700,78900,3101900
2022-02-09,78900,81620,78900,79190,4706300
2022-02-10,79480,79480,77340,77830,5872800
2022-02-11,77730,78220,77240,77440,3480800
2022-02-14,76760,77240,75880,75880,5093500
2022-02-15,75880,78600,75880,77730,3777500
2022-02-16,78020,78220,77440,77730,2334400
2022-02-17,77730,78510,77440,78510,2803200
2022-02-18,77730,78020,77340,77440,3373300
2022-02-21,77730,78220,77440,77730,3116800
2022-02-22,77050,77240,76180,77050,5146700
2022-02-23,77540,78020,77050,77150,2850000
2022-02-24,77050,77240,74910,76370,5284300
2022-02-25,76760,77050,76080,76080,2693300
2022-02-28,76080,76370,75300,75300,2837300
2022-03-01,75300,75980,75300,75790,2459200
2022-03-02,75500,75790,74820,75300,3397800
2022-03-03,75690,76270,75010,75790,3942400
2022-03-04,75790,76270,75010,75690,4102000
2022-03-07,75010,75010,73650,74040,7593900
2022-03-08,73750,74330,72480,72480,6032800
2022-03-09,72870,72870,71710,71900,7395400
2022-03-10,72680,73750,72390,73070,3775700
2022-03-11,73070,73070,71900,72870,3610200
2022-03-14,72480,72580,71320,72390,3437200
2022-03-15,72680,72680,71610,72390,4163200
2022-03-16,72190,72390,71610,72100,4047200
2022-03-17,71900,73650,71800,71900,2869600
2022-03-18,72580,74140,72100,72480,7410800
2022-03-21,73160,75300,73070,75300,4454000
2022-03-22,75400,76270,74620,75790,4130400
2022-03-23,75790,75880,74910,75010,3617700
2022-03-24,74820,74820,73460,73550,4527700
2022-03-25,73650,74140,73360,73750,2713700
2022-03-28,73160,73550,72290,72780,3712400
2022-03-29,72780,74430,72680,74330,2862600
2022-03-30,73650,74140,72580,73650,4088400
2022-03-31,73460,73840,72970,73650,3394300
2022-04-01,73360,74330,72970,74040,4095000
2022-04-04,74820,74820,73940,74140,3127700
2022-04-05,74140,75300,73840,74230,3785900
2022-04-06,73840,74140,72970,74140,3879900
2022-04-07,73840,73940,72580,72870,4601800
2022-04-08,72970,73840,72390,72970,4471900
2022-04-12,72780,72970,70930,70930,4356200
2022-04-13,71120,71320,70150,71030,3825200
2022-04-14,71220,71410,69960,70250,3679100
2022-04-15,70250,70350,68690,69080,4040800
2022-04-18,68110,68790,66170,67820,5668700
2022-04-19,67240,68500,66460,66950,2732200
2022-04-20,66560,66650,63840,64900,5981000
2022-04-21,64610,65099,62180,62180,6536700
2022-04-22,62860,63930,62090,62860,6143200
2022-04-25,63160,63250,58490,61210,6857400
2022-04-26,59560,63160,57520,63160,6323900
2022-04-27,61410,63160,61120,63160,4773300
2022-04-28,63060,63060,60820,62670,6290400
2022-04-29,61310,63160,61210,63160,6819600
2022-05-04,63160,63350,61700,62670,2511700
2022-05-05,62770,66850,62570,66850,7518400
2022-05-06,65099,66850,64810,66750,5560700
2022-05-09,65970,66560,64519,66070,5658400
2022-05-10,65000,67920,63160,67920,4352700
2022-05-11,67040,69180,66650,68500,3072800
2022-05-12,67240,67920,65099,66950,4117300
2022-05-13,66950,66950,62670,66070,6924300
2022-05-16,66070,66170,62670,63930,5296400
2022-05-17,63350,65000,61500,65000,4830700
2022-05-18,65000,65000,63450,65000,4266300
2022-05-19,63160,65780,63160,65099,3316000
2022-05-20,65200,65489,64129,64900,2305800
2022-05-23,64810,65489,63450,64810,2901300
2022-05-24,63930,65000,63840,65000,2242000
2022-05-25,64900,65970,64420,65970,3077100
2022-05-26,65970,67630,65970,66750,3048600
2022-05-27,67040,67720,66560,67720,2451900
2022-05-30,68010,68500,66850,68500,2593900
2022-05-31,68700,69900,68500,69600,3692900
