date,open,high,low,close,volume
2023-05-04,58730,58730,57380,57730,2491100
2023-05-05,57550,58060,57550,57880,660100
2023-05-08,57880,59070,57880,58810,1101700
2023-05-09,59400,59560,59150,59400,809200
2023-05-10,59400,59640,59150,59230,826800
2023-05-11,59150,59500,58730,58730,412100
2023-05-12,59070,59070,58310,58310,868600
2023-05-15,58640,58640,57880,57980,1436500
2023-05-16,57880,58480,57880,58390,1308100
2023-05-17,58480,58480,57730,57980,1788600
2023-05-18,57880,58730,57460,58150,2416100
2023-05-19,58240,58310,57550,57730,1059600
2023-05-22,57640,57880,57290,57290,1598700
2023-05-23,57060,57380,56200,56290,2671700
2023-05-24,56290,56540,55450,55640,2350000
2023-05-25,55540,56630,55380,56290,1305500
2023-05-26,56540,57060,56290,56290,904500
2023-05-29,56460,56810,56290,56290,1043600
2023-05-30,56290,56540,55790,55790,1770500
2023-05-31,56030,56030,55450,55450,1466600
2023-06-01,55450,55790,55380,55450,1214500
2023-06-02,55540,55640,54940,55290,2969700
2023-06-05,55790,56380,55540,55790,3323000
2023-06-06,56130,56130,55380,55720,3423000
2023-06-07,55790,55960,55380,55540,3719000
2023-06-08,55790,55790,54940,54940,5036500
2023-06-09,55040,55790,54940,55190,2080200
2023-06-12,55380,57060,55380,56980,5450300
2023-06-13,57140,57290,56630,56720,4943400
2023-06-14,56810,57210,56290,56290,4910200
2023-06-15,56460,56540,55540,55640,4687800
2023-06-16,55790,55890,55380,55450,5993000
2023-06-19,55640,55890,55040,55190,3279400
2023-06-20,55290,55290,54940,54940,2963000
2023-06-21,55040,55640,54940,55640,3490900
2023-06-22,55790,56460,55640,56130,5610600
2023-06-23,56200,58310,56200,57980,11958000
2023-06-26,58150,59320,57290,59230,10737800
2023-06-27,59400,59400,58390,59150,5978900
2023-06-28,59150,59500,58480,59230,6154700
2023-06-29,59230,60730,58810,60330,7698400
2023-06-30,60330,60410,59400,59560,3645000
2023-07-03,59640,59890,58980,59320,3186200
2023-07-04,59150,59740,58810,59230,4781600
2023-07-05,59400,59400,58390,58550,6659200
2023-07-06,58640,59320,58550,59150,7631000
2023-07-07,59320,59740,59070,59500,5780500
2023-07-10,59890,60990,59740,60500,6171100
2023-07-11,60500,61590,60150,61080,5702300
2023-07-12,61160,61670,60900,61670,4195800
2023-07-13,61590,61920,61160,61330,3783500
2023-07-14,61410,61590,60500,61500,5209700
2023-07-17,61240,61750,60580,60660,3922800
2023-07-18,60830,60900,60580,60730,2930000
2023-07-19,60830,61240,60730,60900,2945100
2023-07-20,60900,61080,60660,60900,2600700
2023-07-21,60900,61670,60830,61670,3341800
2023-07-24,61670,62080,61500,61750,2535300
2023-07-25,61750,62680,61330,62510,4245900
2023-07-26,62420,63080,62340,62940,3189700
2023-07-27,62940,63590,62760,63510,4178200
2023-07-28,63590,65190,63420,64930,5473600
2023-07-31,64860,65770,64760,65440,3364900
2023-08-01,65440,65440,63770,63770,5730800
2023-08-02,63770,64190,63180,63840,2678900
2023-08-03,64250,64250,62950,62950,2917600
2023-08-04,62850,63280,62420,63280,3165200
2023-08-07,63200,64920,62680,64920,4317900
2023-08-08,64750,64920,64069,64590,3430500
2023-08-09,64590,64590,63100,63360,3705000
2023-08-10,63360,64150,63200,63360,2733200
2023-08-11,63360,63720,62770,63720,2181300
2023-08-14,63630,63720,62850,63630,3066500
2023-08-15,63200,63630,63030,63100,2219700
2023-08-16,63100,63720,62850,63360,2083900
2023-08-17,63360,64590,63200,63820,4580900
2023-08-18,63720,64849,62510,63550,7106200
2023-08-21,63030,63980,63030,63200,3055200
2023-08-22,63450,63450,61650,63030,3075100
2023-08-23,62770,63820,62060,63720,3072800
2023-08-24,63720,64920,63280,64750,4419900
2023-08-25,65290,65290,64400,64920,2751400
2023-08-28,65019,67710,65019,67530,5466800
2023-08-29,67190,67270,66050,67090,4199900
2023-08-30,66740,68050,66320,67450,2659700
2023-08-31,67190,68400,66830,67450,3836000
2023-09-05,68050,69790,67710,69430,6839900
2023-09-06,69430,69430,68930,69360,2280400
2023-09-07,69260,69360,68130,68930,3526700
2023-09-08,68670,69430,68570,69360,2774900
2023-09-11,69360,70290,67270,68930,4234900
2023-09-12,68490,69970,67870,69610,2668500
2023-09-13,68990,69610,68220,68570,2507000
2023-09-14,68050,69360,67960,68830,2482600
2023-09-15,68830,70390,68490,68930,5614800
2023-09-18,68570,69170,68220,68400,1322100
2023-09-19,68050,68400,67090,68400,2571700
2023-09-20,67960,68310,67620,67870,1842800
2023-09-21,67710,67870,67010,67620,2537900
2023-09-22,66830,67870,65710,67190,4244900
2023-09-25,66920,68050,66500,67270,2755500
