symbol,pe_ratio,pb_ratio,roe,roa,sector,data_date,source
VCB,14.28,2.25,16.77%,1.6%,Banking,2025-11-17,SSI
BID,10.14,1.66,16.69%,0.9%,Banking,2025-11-17,SSI
CTG,7.82,1.55,20.96%,1.3%,Banking,2025-11-17,SSI
TCB,11.28,1.51,13.67%,2.13%,Banking,2025-11-17,SSI
MBB,7.79,1.49,19.38%,1.98%,Banking,2025-11-17,SSI
VNM,15.10,3.85,26.37%,15.73%,Consumer,2025-11-17,SSI
SAB,13.96,2.66,18.93%,13.35%,Consumer,2025-11-17,SSI
MSN,35.52,3.35,10.46%,2.48%,Consumer,2025-11-17,SSI
PNJ,13,2.55,19.95%,13.61%,Consumer,2025-11-17,SSI
MWG,20.58,3.83,19.68%,7.64%,Consumer,2025-11-17,SSI
HPG,14.34,1.65,12.02%,6.12%,Materials,2025-11-17,SSI
HSG,14.47,0.94,6.51%,3.88%,Materials,2025-11-17,SSI
FPT,18.94,4.76,27.37%,11.56%,Technology,2025-11-17,SSI
GAS,12.89,2.33,18.93%,13.97%,Energy,2025-11-17,SSI
PLX,16.51,1.71,10.33%,3.12%,Energy,2025-11-17,SSI
POW,18.34,1.03,5.81%,2.29%,Utilities,2025-11-17,SSI
VHM,15.31,1.77,12.66%,4.17%,Real Estate,2025-11-17,SSI
VIC,92.26,5.58,6.2%,0.96%,Real Estate,2025-11-17,SSI
DHG,14.77,3.39,22.61%,16.10%,Pharma,2025-11-17,SSI
SSI,18.56,2.33,13.06%,4.24%,Securities,2025-11-17,SSI
VND,15.49,1.45,9.66%,3.89%,Securities,2025-11-17,SSI
VRE,14.97,1.6,11.13%,8.45%,Real Estate,2025-11-17,SSI
LHG,5.23,0.86,16.9%,9.33%,Real Estate,2025-11-17,SSI
NLG,17.06,1.47,8.79%,2.96%,Real Estate,2025-11-17,SSI
CMG,20.79,2.63,13.07%,4.85%,Technology,2025-11-17,SSI
KBC,17.94,1.31,7.09%,2.59%,Real Estate,2025-11-17,SSI
ST8,21.04,0.5,2.39%,1.66%,Real Estate,2025-11-17,SSI
HHV,12.03,1.08,5.23%,1.32%,Real Estate,2025-11-17,SSI
FRT,40.33,8.06,24.8%,3.5%,Consumer,2025-11-17,SSI
