symbol,pe_ratio,pb_ratio,roe,roa,sector,pe_rank,pb_rank,roe_rank,value_score
VIC,92.26,5.58,6.2,0.96,Real Estate,83.0,82.0,80.0,245.0
MSN,35.52,3.35,10.46,2.48,Consumer,81.0,75.0,74.0,230.0
CMG,20.79,2.63,13.07,4.85,Technology,79.0,69.0,66.0,214.0
SSI,18.56,2.33,13.06,4.24,Securities,76.0,63.5,67.0,206.5
NVL,13.5,2.5,13.2,4.5,Real Estate,58.0,66.0,65.0,189.0
PLX,16.51,1.71,10.33,3.12,Energy,72.0,41.0,75.0,188.0
VHM,15.31,1.77,12.66,4.17,Real Estate,70.0,42.0,68.0,180.0
HVN,13.8,2.5,14.8,6.2,Transportation,59.5,66.0,50.0,175.5
MWG,20.58,3.83,19.68,7.64,Consumer,78.0,79.0,15.0,172.0
VRE,14.97,1.6,11.13,8.45,Real Estate,68.0,31.5,72.0,171.5
HPG,14.34,1.65,12.02,6.12,Materials,64.0,35.0,70.0,169.0
NLG,17.06,1.47,8.79,2.96,Real Estate,73.0,18.0,77.0,168.0
FRT,40.33,8.06,24.8,3.5,Consumer,82.0,83.0,3.0,168.0
KBC,17.94,1.31,7.09,2.59,Real Estate,74.0,15.0,78.0,167.0
KDH,12.8,2.2,14.5,5.2,Real Estate,53.5,59.0,53.5,166.0
VND,15.49,1.45,9.66,3.89,Securities,71.0,17.0,76.0,164.0
ST8,21.04,0.5,2.39,1.66,Real Estate,80.0,1.0,83.0,164.0
POW,18.34,1.03,5.81,2.29,Utilities,75.0,6.0,81.0,162.0
PDR,11.5,2.0,13.8,4.8,Real Estate,47.5,54.0,59.5,161.0
FPT,18.94,4.76,27.37,11.56,Technology,77.0,81.0,1.0,159.0
VCB,14.28,2.25,16.77,1.6,Banking,63.0,62.0,32.0,157.0
CEO,10.8,1.9,13.5,5.0,Construction,41.5,50.5,63.0,155.0
VJC,12.5,2.2,15.5,6.5,Transportation,51.5,59.0,43.0,153.5
VHC,14.5,3.5,21.2,13.5,Consumer,66.0,77.5,9.0,152.5
DXG,10.5,1.8,12.2,4.2,Real Estate,37.5,45.5,69.0,152.0
VNM,15.1,3.85,26.37,15.73,Consumer,69.0,80.0,2.0,151.0
DHG,14.77,3.39,22.61,16.1,Pharma,67.0,76.0,7.0,150.0
SAB,13.96,2.66,18.93,13.35,Consumer,61.0,70.0,18.5,149.5
HSG,14.47,0.94,6.51,3.88,Materials,65.0,4.0,79.0,148.0
TNH,13.8,3.5,23.5,15.2,Pharma,59.5,77.5,4.0,141.0
SAM,14.2,3.0,22.8,13.5,Technology,62.0,72.5,5.5,140.0
HHV,12.03,1.08,5.23,1.32,Real Estate,50.0,7.0,82.0,139.0
PNJ,13.0,2.55,19.95,13.61,Consumer,56.0,68.0,14.0,138.0
HCM,12.5,2.2,17.2,8.5,Securities,51.5,59.0,27.0,137.5
GAS,12.89,2.33,18.93,13.97,Energy,55.0,63.5,18.5,137.0
DMC,13.2,3.2,22.8,14.5,Pharma,57.0,74.0,5.5,136.5
HAH,11.2,2.0,16.2,8.5,Transportation,44.0,54.0,37.0,135.0
TCB,11.28,1.51,13.67,2.13,Banking,46.0,27.0,61.0,134.0
IMP,12.8,3.0,21.5,13.8,Pharma,53.5,72.5,8.0,134.0
GMD,9.8,1.8,14.2,7.2,Logistics,31.0,45.5,57.0,133.5
DCL,11.5,2.8,20.2,12.5,Pharma,47.5,71.0,12.5,131.0
VHG,11.8,2.1,17.5,9.2,Agriculture,49.0,56.0,24.0,129.0
VSH,11.2,2.0,16.8,7.8,Insurance,44.0,54.0,30.5,128.5
VTP,10.5,1.9,15.8,7.8,Transportation,37.5,50.5,40.5,128.5
VGI,11.2,2.5,20.2,11.5,Technology,44.0,66.0,12.5,122.5
DCM,9.2,1.7,14.2,7.5,Materials,27.0,38.5,57.0,122.5
HAG,10.5,1.9,16.5,8.5,Agriculture,37.5,50.5,34.0,122.0
NT2,10.5,1.8,16.2,10.2,Utilities,37.5,45.5,37.0,120.0
PHR,10.5,1.8,16.2,9.2,Materials,37.5,45.5,37.0,120.0
BAF,10.2,1.8,16.2,8.8,Agriculture,34.0,45.5,37.0,116.5
ITD,10.8,2.2,19.5,10.8,Technology,41.5,59.0,16.0,116.5
BCM,9.8,1.7,15.2,6.5,Construction,31.0,38.5,46.5,116.0
SCS,8.5,1.6,13.5,6.8,Logistics,19.5,31.5,63.0,114.0
HDG,8.5,1.5,11.5,3.8,Real Estate,19.5,23.0,71.0,113.5
HDC,8.8,1.6,14.2,5.5,Construction,24.0,31.5,57.0,112.5
HNG,9.2,1.7,15.2,7.8,Agriculture,27.0,38.5,46.5,112.0
PAN,10.5,2.2,20.5,12.8,Consumer,37.5,59.0,11.0,107.5
PVS,9.2,1.6,15.2,8.5,Energy,27.0,31.5,46.5,105.0
DGW,9.8,1.9,18.5,11.2,Consumer,31.0,50.5,21.0,102.5
BID,10.14,1.66,16.69,0.9,Banking,33.0,36.0,33.0,102.0
NKG,8.8,1.5,14.5,7.2,Materials,24.0,23.0,53.5,100.5
VPI,9.5,1.8,17.5,8.5,Insurance,29.0,45.5,24.0,98.5
PVT,8.8,1.5,14.8,8.2,Energy,24.0,23.0,50.0,97.0
SBT,8.5,1.5,14.5,7.2,Agriculture,19.5,23.0,53.5,96.0
PVD,8.5,1.5,14.5,7.8,Energy,19.5,23.0,53.5,96.0
CSV,8.2,1.6,15.2,8.5,Materials,16.0,31.5,46.5,94.0
LDG,7.2,1.3,10.8,3.5,Real Estate,8.0,13.0,73.0,94.0
DPM,8.5,1.5,15.5,8.0,Materials,19.5,23.0,43.0,85.5
DRC,8.5,1.7,17.2,10.5,Consumer,19.5,38.5,27.0,85.0
BSR,7.5,1.2,13.5,6.5,Energy,10.0,10.0,63.0,83.0
DGC,6.5,1.2,13.8,6.5,Materials,5.5,10.0,59.5,75.0
AAA,7.5,1.3,14.8,7.5,Materials,10.0,13.0,50.0,73.0
HT1,7.8,1.4,15.8,8.2,Materials,13.5,16.0,40.5,70.0
VPB,7.8,1.6,18.2,1.3,Banking,13.5,31.5,22.0,67.0
TPB,7.5,1.5,18.8,1.2,Banking,10.0,23.0,20.0,53.0
CTG,7.82,1.55,20.96,1.3,Banking,15.0,28.0,10.0,53.0
SHB,6.1,1.1,16.2,1.0,Banking,4.0,8.0,37.0,49.0
MBB,7.79,1.49,19.38,1.98,Banking,12.0,19.0,17.0,48.0
SSB,5.2,0.9,15.5,0.9,Banking,1.0,3.0,43.0,47.0
HDB,6.9,1.2,17.2,1.1,Banking,7.0,10.0,27.0,44.0
ACB,6.5,1.3,17.5,1.1,Banking,5.5,13.0,24.0,42.5
STB,5.5,1.0,16.8,1.0,Banking,3.0,5.0,30.5,38.5
LHG,5.23,0.86,16.9,9.33,Real Estate,2.0,2.0,29.0,33.0
