date,value,return,cash,holdings_value,regime
2022-01-04,99602247.84,-0.3977521599999964,164207.8400000073,99438040,choppy
2022-01-05,98287907.84,-1.7120921599999963,164207.8400000073,98123700,choppy
2022-01-06,97828577.84,-2.1714221599999965,164207.8400000073,97664370,choppy
2022-01-07,97207027.84,-2.7929721599999966,164207.8400000073,97042820,choppy
2022-01-10,96925237.84,-3.0747621599999966,164207.8400000073,96761030,choppy
2022-01-11,94759667.84,-5.240332159999996,164207.8400000073,94595460,choppy
2022-01-12,95075547.84,-4.924452159999997,164207.8400000073,94911340,choppy
2022-01-13,95405357.84,-4.594642159999997,164207.8400000073,95241150,choppy
2022-01-14,95445417.84,-4.554582159999996,164207.8400000073,95281210,choppy
2022-01-17,93159527.84,-6.8404721599999965,164207.8400000073,92995320,choppy
2022-01-18,92586137.84,-7.413862159999997,164207.8400000073,92421930,choppy
2022-01-19,93026017.84,-6.973982159999996,164207.8400000073,92861810,choppy
2022-01-20,93292147.84,-6.707852159999997,164207.8400000073,93127940,choppy
2022-01-21,93078197.84,-6.921802159999997,164207.8400000073,92913990,choppy
2022-01-24,89954014.84,-10.045985159999997,164207.8400000073,89789807,choppy
2022-01-25,92236317.84,-7.763682159999997,164207.8400000073,92072110,choppy
2022-01-26,91714217.84,-8.285782159999997,164207.8400000073,91550010,choppy
2022-01-27,91369487.84,-8.630512159999997,164207.8400000073,91205280,choppy
2022-01-28,92379207.84,-7.620792159999996,164207.8400000073,92215000,choppy
2022-02-07,92258057.84,-7.741942159999997,164207.8400000073,92093850,choppy
2022-02-08,92162817.84,-7.837182159999996,164207.8400000073,91998610,choppy
2022-02-09,92921527.84,-7.078472159999996,164207.8400000073,92757320,choppy
2022-02-10,93071687.84,-6.928312159999997,164207.8400000073,92907480,choppy
2022-02-11,92453507.84,-7.546492159999997,164207.8400000073,92289300,choppy
2022-02-14,91938317.84,-8.061682159999997,164207.8400000073,91774110,choppy
2022-02-15,93306627.84,-6.6933721599999965,164207.8400000073,93142420,choppy
2022-02-16,92730766.84,-7.269233159999996,164207.8400000073,92566559,choppy
2022-02-17,93958907.84,-6.041092159999996,164207.8400000073,93794700,choppy
2022-02-18,93877517.84,-6.122482159999996,164207.8400000073,93713310,choppy
2022-02-21,94008574.84,-5.991425159999996,164207.8400000073,93844367,choppy
2022-02-22,92899526.84,-7.100473159999996,164207.8400000073,92735319,choppy
2022-02-23,93110706.84,-6.889293159999997,164207.8400000073,92946499,choppy
2022-02-24,92069127.84,-7.930872159999996,164207.8400000073,91904920,choppy
2022-02-25,91792707.84,-8.207292159999996,164207.8400000073,91628500,choppy
2022-02-28,91789217.84,-8.210782159999997,164207.8400000073,91625010,choppy
2022-03-01,92365017.84,-7.634982159999996,164207.8400000073,92200810,choppy
2022-03-02,92134767.84,-7.865232159999996,164207.8400000073,91970560,choppy
2022-03-03,93802457.84,-6.197542159999996,164207.8400000073,93638250,choppy
2022-03-04,93834797.84,-6.165202159999997,164207.8400000073,93670590,choppy
2022-03-07,93738167.84,-6.261832159999997,164207.8400000073,93573960,choppy
2022-03-08,93038207.84,-6.961792159999996,164207.8400000073,92874000,choppy
2022-03-09,92751787.84,-7.248212159999996,164207.8400000073,92587580,choppy
2022-03-10,92309047.84,-7.690952159999996,164207.8400000073,92144840,choppy
2022-03-11,90668777.84,-9.331222159999996,164207.8400000073,90504570,choppy
2022-03-14,88537527.84,-11.462472159999997,164207.8400000073,88373320,choppy
2022-03-15,89090007.84,-10.909992159999996,164207.8400000073,88925800,choppy
2022-03-16,89161567.84,-10.838432159999996,164207.8400000073,88997360,choppy
2022-03-17,88841767.84,-11.158232159999997,164207.8400000073,88677560,choppy
2022-03-18,89426727.84,-10.573272159999997,164207.8400000073,89262520,choppy
2022-03-21,91399957.84,-8.600042159999996,164207.8400000073,91235750,choppy
2022-03-22,92118427.84,-7.881572159999996,164207.8400000073,91954220,choppy
2022-03-23,91584647.84,-8.415352159999996,164207.8400000073,91420440,choppy
2022-03-24,91070757.84,-8.929242159999996,164207.8400000073,90906550,choppy
2022-03-25,90880767.84,-9.119232159999996,164207.8400000073,90716560,choppy
2022-03-28,90566717.84,-9.433282159999996,164207.8400000073,90402510,choppy
2022-03-29,92357997.84,-7.642002159999997,164207.8400000073,92193790,choppy
2022-03-30,92673277.84,-7.326722159999996,164207.8400000073,92509070,choppy
2022-03-31,93615317.84,-6.384682159999996,164207.8400000073,93451110,choppy
2022-04-01,95597047.84,-4.402952159999996,164207.8400000073,95432840,choppy
2022-04-04,95166551.16,-4.8334488400000035,137901.16000000387,95028650,choppy
2022-04-05,95212561.16,-4.787438840000004,137901.16000000387,95074660,choppy
2022-04-06,96221241.16,-3.7787588400000036,137901.16000000387,96083340,choppy
2022-04-07,96035651.16,-3.964348840000004,137901.16000000387,95897750,choppy
2022-04-08,95029061.16,-4.970938840000003,137901.16000000387,94891160,choppy
2022-04-12,92490291.16,-7.509708840000004,137901.16000000387,92352390,choppy
2022-04-13,92972601.16,-7.0273988400000045,137901.16000000387,92834700,choppy
2022-04-14,92177821.16,-7.822178840000003,137901.16000000387,92039920,choppy
2022-04-15,90585221.16,-9.414778840000002,137901.16000000387,90447320,choppy
2022-04-18,87486231.16,-12.513768840000003,137901.16000000387,87348330,choppy
2022-04-19,85672611.16,-14.327388840000005,137901.16000000387,85534710,choppy
2022-04-20,85339021.16,-14.660978840000002,137901.16000000387,85201120,choppy
2022-04-21,85534831.16,-14.465168840000004,137901.16000000387,85396930,choppy
2022-04-22,86826041.16,-13.173958840000003,137901.16000000387,86688140,choppy
2022-04-25,82041531.16,-17.958468840000002,137901.16000000387,81903630,choppy
2022-04-26,83139331.16,-16.860668840000002,137901.16000000387,83001430,choppy
2022-04-27,84413941.16,-15.586058840000003,137901.16000000387,84276040,choppy
2022-04-28,84251731.16,-15.748268840000005,137901.16000000387,84113830,choppy
2022-04-29,84405081.16,-15.594918840000005,137901.16000000387,84267180,choppy
2022-05-04,84482661.16,-15.517338840000003,137901.16000000387,84344760,choppy
2022-05-05,85046821.16,-14.953178840000003,137901.16000000387,84908920,choppy
2022-05-06,83150011.16,-16.849988840000005,137901.16000000387,83012110,choppy
2022-05-09,78773641.16,-21.226358840000003,137901.16000000387,78635740,choppy
2022-05-10,80201221.16,-19.798778840000004,137901.16000000387,80063320,choppy
2022-05-11,80355371.16,-19.644628840000003,137901.16000000387,80217470,choppy
2022-05-12,75650781.16,-24.349218840000002,137901.16000000387,75512880,choppy
2022-05-13,71700641.16,-28.299358840000004,137901.16000000387,71562740,choppy
2022-05-16,73289781.16,-26.710218840000007,137901.16000000387,73151880,choppy
2022-05-17,77326871.16,-22.673128840000004,137901.16000000387,77188970,choppy
2022-05-18,77540981.16,-22.459018840000002,137901.16000000387,77403080,choppy
2022-05-19,77138821.16,-22.861178840000004,137901.16000000387,77000920,choppy
2022-05-20,76760731.16,-23.239268840000005,137901.16000000387,76622830,choppy
2022-05-23,75518411.16,-24.481588840000004,137901.16000000387,75380510,choppy
2022-05-24,75643131.16,-24.356868840000004,137901.16000000387,75505230,choppy
2022-05-25,77411171.16,-22.58882884,137901.16000000387,77273270,choppy
2022-05-26,77558931.16,-22.441068840000003,137901.16000000387,77421030,choppy
2022-05-27,78325431.16,-21.674568840000003,137901.16000000387,78187530,choppy
2022-05-30,79020911.16,-20.979088840000003,137901.16000000387,78883010,choppy
2022-05-31,79595991.16,-20.404008840000003,137901.16000000387,79458090,choppy
2022-06-01,80366501.16,-19.633498840000005,137901.16000000387,80228600,choppy
2022-06-02,78719521.16,-21.280478840000004,137901.16000000387,78581620,choppy
2022-06-03,78212271.16,-21.787728840000003,137901.16000000387,78074370,choppy
2022-06-06,79380591.16,-20.619408840000002,137901.16000000387,79242690,choppy
2022-06-07,81488061.16,-18.511938840000003,137901.16000000387,81350160,choppy
2022-06-08,81937161.16,-18.062838840000005,137901.16000000387,81799260,choppy
2022-06-09,82585891.16,-17.414108840000004,137901.16000000387,82447990,choppy
2022-06-10,80443941.16,-19.556058840000006,137901.16000000387,80306040,choppy
2022-06-13,77601271.16,-22.398728840000004,137901.16000000387,77463370,choppy
2022-06-14,77484061.16,-22.515938840000004,137901.16000000387,77346160,choppy
2022-06-15,74983011.16,-25.016988840000003,137901.16000000387,74845110,choppy
2022-06-16,77759721.16,-22.240278840000002,137901.16000000387,77621820,choppy
2022-06-17,77033291.16,-22.966708840000003,137901.16000000387,76895390,choppy
2022-06-20,73412721.16,-26.587278840000007,137901.16000000387,73274820,choppy
