Symbol,Quantity,Average Cost
A,11.360089,136.07
AAPL,0.109001,271.86
ACN,5.384531,268.30
AGEN,0.05,3.14
ALGN,4,156.15
AMC,4.266667,1.56
ANET,20,131.03
ARBK,0.083333,3.41
ARKK,172.042433,76.92
ASST,688,0.738
AZN,12.516825,91.93
BABA,10.550518,146.58
BAC,4.292135,55.00
BALL,14.88672,52.97
BLSH,10,37.87
BOND,27.804831,93.08
BRK.B,0.129688,502.65
BULL,200,7.77
CHKP,9,185.56
COIN,4,226.14
DOX,18.726298,80.51
EA,7.184313,204.33
FIG,10,37.37
FTNT,20,79.41
GEMI,1,9.92
GNTX,43.224987,23.27
HIMS,120,32.47
HOOD,180.898348,113.10
HTZ,400,5.14
HYG,32.339875,80.63
IAU,9,81.17
IDRV,24.269749,37.927
INFY,106.448715,17.82
INKT,0.00146,11.15
INTU,4.121568,662.42
JEPQ,17.714453,58.12
JNJ,8.019498,206.95
JPM,0.066186,322.22
KLAR,29,28.91
LEN,17.132957,102.80
LLY,0.278471,1074.68
LYFT,20,19.37
MED,8.008048,10.68
META,12.532484,660.09
MRP,8.950506,29.87
MSFT,2.154871,483.62
NFLX,20,93.76
NKE,10.68014,63.71
NVDA,24.197394,186.50
NVO,17.158251,50.88
PBI,186.384652,10.57
PHM,16.066973,117.26
QCOM,11.087824,171.05
QQQ,71.191324,614.31
REGN,2.011786,771.87
RYCEY,550,15.72
SKYY,112.217746,130.08
SOFI,28,26.18
SPY,71.893789,681.92
T,40,24.84
TER,1.234979,193.56
TJX,8.253129,153.61
TLT,16.318445,87.16
TQQQ,281.324184,52.72
TSLA,11.567791,449.72
UBER,21,81.71
VIPS,191.540931,17.69
VOO,58.742551,627.13
VRTX,4,453.36
XYZ,16.35011,65.09
ZTS,7.305385,125.82
